"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 08:26:35 GMT 2022","Tue Nov 29 08:26:35 GMT 2022","46","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","strings are randoms","strings are randoms",""
"passed","Tue Nov 29 08:25:27 GMT 2022","Tue Nov 29 08:26:28 GMT 2022","60388","","waitForExist reverse:true","","waitForExist reverse:true","fail on existing element","fail on existing element",""
"passed","Tue Nov 29 08:27:53 GMT 2022","Tue Nov 29 08:28:53 GMT 2022","60204","","waitForDisplayed","","waitForDisplayed","hidden element","hidden element",""
"passed","Tue Nov 29 08:24:18 GMT 2022","Tue Nov 29 08:25:18 GMT 2022","60346","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate element not exist error thrown","Validate element not exist error thrown",""
"passed","Tue Nov 29 08:25:43 GMT 2022","Tue Nov 29 08:25:44 GMT 2022","388","","scrollTo","","scrollTo","scroll to already loaded element","scroll to already loaded element",""
"passed","Tue Nov 29 08:23:04 GMT 2022","Tue Nov 29 08:24:06 GMT 2022","62028","","doubleClick","","doubleClick","double click not existing element","double click not existing element",""
"passed","Tue Nov 29 08:24:28 GMT 2022","Tue Nov 29 08:24:28 GMT 2022","470","","moveToSpec","","moveToSpec","hoverTrue","hoverTrue",""
"passed","Tue Nov 29 08:25:40 GMT 2022","Tue Nov 29 08:25:40 GMT 2022","524","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element outside of viewport","scrollIntoView to element outside of viewport",""
"passed","Tue Nov 29 08:23:00 GMT 2022","Tue Nov 29 08:23:04 GMT 2022","3722","","doubleClick","","doubleClick","successful double click","successful double click",""
"passed","Tue Nov 29 08:24:06 GMT 2022","Tue Nov 29 08:24:06 GMT 2022","329","","getNumberOfElements","","getNumberOfElements","get number of existing elements","get number of existing elements",""
"passed","Tue Nov 29 08:23:21 GMT 2022","Tue Nov 29 08:24:22 GMT 2022","60625","","waitForAlertText","","waitForAlertText","incorrect text","incorrect text",""
"passed","Tue Nov 29 08:25:24 GMT 2022","Tue Nov 29 08:25:24 GMT 2022","18","","NormalizeUrl","","NormalizeUrl","//// to be empty","//// to be empty",""
"passed","Tue Nov 29 08:24:32 GMT 2022","Tue Nov 29 08:24:33 GMT 2022","513","","waitForNumberOfElements","","waitForNumberOfElements","Expect 0 elements equals","Expect 0 elements equals",""
"passed","Tue Nov 29 08:26:00 GMT 2022","Tue Nov 29 08:26:00 GMT 2022","321","","SendKeysSpec","","SendKeysSpec","Array of Special Keys","Array of Special Keys",""
"passed","Tue Nov 29 08:23:32 GMT 2022","Tue Nov 29 08:23:33 GMT 2022","588","","waitForText","","waitForText","correct text","correct text",""
"passed","Tue Nov 29 08:25:59 GMT 2022","Tue Nov 29 08:25:59 GMT 2022","363","","SendKeysSpec","","SendKeysSpec","send an array of strings","send an array of strings",""
"passed","Tue Nov 29 08:26:38 GMT 2022","Tue Nov 29 08:26:38 GMT 2022","281","","verifyFilesInZip","","verifyFilesInZip","correct list with incorrect size","correct list with incorrect size",""
"passed","Tue Nov 29 08:23:43 GMT 2022","Tue Nov 29 08:23:43 GMT 2022","163","","GetCookieSpec","","GetCookieSpec","get cookie by value","get cookie by value",""
"passed","Tue Nov 29 08:23:29 GMT 2022","Tue Nov 29 08:24:30 GMT 2022","60865","","waitForUrl","","waitForUrl","incorrect url","incorrect url",""
"passed","Tue Nov 29 08:26:21 GMT 2022","Tue Nov 29 08:26:24 GMT 2022","3529","","switchToIframe","","switchToIframe","iframe 2 not available after switch to iframe 1","iframe 2 not available after switch to iframe 1",""
"passed","Tue Nov 29 08:25:51 GMT 2022","Tue Nov 29 08:25:51 GMT 2022","425","","selectByValue","","selectByValue","select by existing value","select by existing value",""
"passed","Tue Nov 29 08:22:56 GMT 2022","Tue Nov 29 08:22:58 GMT 2022","1765","","acceptAlert","","acceptAlert","no alert","no alert",""
"passed","Tue Nov 29 08:26:26 GMT 2022","Tue Nov 29 08:26:26 GMT 2022","544","","tab actions","","tab actions","get tab ids","get tab ids",""
"passed","Tue Nov 29 08:26:45 GMT 2022","Tue Nov 29 08:27:46 GMT 2022","60501","","waitForClickable","","waitForClickable","not clickable element","not clickable element",""
"passed","Tue Nov 29 08:23:33 GMT 2022","Tue Nov 29 08:24:33 GMT 2022","60337","","waitForText","","waitForText","hidden text","hidden text",""
"passed","Tue Nov 29 08:24:40 GMT 2022","Tue Nov 29 08:24:40 GMT 2022","320","","IsDisplayed","","IsDisplayed","displayed true","displayed true",""
"passed","Tue Nov 29 08:23:38 GMT 2022","Tue Nov 29 08:23:38 GMT 2022","342","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"passed","Tue Nov 29 08:23:29 GMT 2022","Tue Nov 29 08:24:30 GMT 2022","60921","","waitForAttributeValue","","waitForAttributeValue","incorrect value","incorrect value",""
"passed","Tue Nov 29 08:24:17 GMT 2022","Tue Nov 29 08:24:18 GMT 2022","428","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate multiple result select first one ","Validate multiple result select first one ",""
"passed","Tue Nov 29 08:27:46 GMT 2022","Tue Nov 29 08:27:46 GMT 2022","224","","waitForClickable","","waitForClickable","clickable element","clickable element",""
"passed","Tue Nov 29 08:24:06 GMT 2022","Tue Nov 29 08:25:06 GMT 2022","60310","","doubleClick","","doubleClick","double click hidden element","double click hidden element",""
"passed","Tue Nov 29 08:26:38 GMT 2022","Tue Nov 29 08:26:39 GMT 2022","319","","verifyFilesInZip","","verifyFilesInZip","incorrect zip link","incorrect zip link",""
"passed","Tue Nov 29 08:24:35 GMT 2022","Tue Nov 29 08:24:36 GMT 2022","202","","isDisplayedInViewport","","isDisplayedInViewport","element is not displayed in viewport","element is not displayed in viewport",""
"passed","Tue Nov 29 08:24:28 GMT 2022","Tue Nov 29 08:25:29 GMT 2022","60198","","moveToSpec","","moveToSpec","hoverFalse","hoverFalse",""
"passed","Tue Nov 29 08:26:38 GMT 2022","Tue Nov 29 08:26:38 GMT 2022","346","","verifyFilesInZip","","verifyFilesInZip","correct list with size","correct list with size",""
"passed","Tue Nov 29 08:26:31 GMT 2022","Tue Nov 29 08:26:32 GMT 2022","467","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","not exist element ","not exist element ",""
"passed","Tue Nov 29 08:24:06 GMT 2022","Tue Nov 29 08:24:07 GMT 2022","167","","getNumberOfElements","","getNumberOfElements","undefined selector value","undefined selector value",""
"passed","Tue Nov 29 08:26:00 GMT 2022","Tue Nov 29 08:26:00 GMT 2022","416","","SendKeysSpec","","SendKeysSpec","Add text after sending enter for new line","Add text after sending enter for new line",""
"passed","Tue Nov 29 08:25:18 GMT 2022","Tue Nov 29 08:25:18 GMT 2022","624","","url","","url","navigate successfully","navigate successfully",""
"passed","Tue Nov 29 08:25:46 GMT 2022","Tue Nov 29 08:25:46 GMT 2022","339","","ScrollTo","","ScrollTo","scroll to y value","scroll to y value",""
"passed","Tue Nov 29 08:24:35 GMT 2022","Tue Nov 29 08:24:35 GMT 2022","303","","isDisplayedInViewport","","isDisplayedInViewport","element displayed in viewport","element displayed in viewport",""
"passed","Tue Nov 29 08:24:30 GMT 2022","Tue Nov 29 08:25:30 GMT 2022","60336","","waitForAttributeValue","","waitForAttributeValue","incorrect selector","incorrect selector",""
"passed","Tue Nov 29 08:23:04 GMT 2022","Tue Nov 29 08:23:07 GMT 2022","2824","","dragAndDrop","","dragAndDrop","drag and drop to element","drag and drop to element",""
"passed","Tue Nov 29 08:23:31 GMT 2022","Tue Nov 29 08:24:32 GMT 2022","60582","","expectNoAttributeValue","","expectNoAttributeValue","Exact match error thrown","Exact match error thrown",""
"passed","Tue Nov 29 08:25:06 GMT 2022","Tue Nov 29 08:26:07 GMT 2022","60230","","doubleClick","","doubleClick","double click disabled element","double click disabled element",""
"passed","Tue Nov 29 08:26:00 GMT 2022","Tue Nov 29 08:26:01 GMT 2022","392","","SendKeysSpec","","SendKeysSpec","Special Key Emoji","Special Key Emoji",""
"passed","Tue Nov 29 08:24:53 GMT 2022","Tue Nov 29 08:24:54 GMT 2022","391","","waitForExist","","waitForExist","existing element","existing element",""
"passed","Tue Nov 29 08:26:51 GMT 2022","Tue Nov 29 08:26:51 GMT 2022","160","","setWindowSize","","setWindowSize","change window size","change window size",""
"passed","Tue Nov 29 08:25:13 GMT 2022","Tue Nov 29 08:25:13 GMT 2022","215","","isSelected","","isSelected","element not selected","element not selected",""
"passed","Tue Nov 29 08:26:19 GMT 2022","Tue Nov 29 08:26:20 GMT 2022","672","","SwitchToParentIframe","","SwitchToParentIframe","Switch from iframe to Iframe parent","Switch from iframe to Iframe parent",""
"passed","Tue Nov 29 08:23:04 GMT 2022","Tue Nov 29 08:23:06 GMT 2022","2046","","dismissAlert","","dismissAlert","no alert","no alert",""
"passed","Tue Nov 29 08:23:01 GMT 2022","Tue Nov 29 08:23:04 GMT 2022","3305","","clearValue","","clearValue","clear value of text","clear value of text",""
"passed","Tue Nov 29 08:23:27 GMT 2022","Tue Nov 29 08:23:29 GMT 2022","1880","","waitForAttributeValue","","waitForAttributeValue","correct value","correct value",""
"passed","Tue Nov 29 08:23:38 GMT 2022","Tue Nov 29 08:23:38 GMT 2022","229","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","should return null on not existing attribute","should return null on not existing attribute",""
"passed","Tue Nov 29 08:25:51 GMT 2022","Tue Nov 29 08:26:52 GMT 2022","60225","","selectByValue","","selectByValue","select hidden element by value","select hidden element by value",""
"passed","Tue Nov 29 08:24:32 GMT 2022","Tue Nov 29 08:25:33 GMT 2022","60883","","expectNoAttributeValue","","expectNoAttributeValue","Element not exists","Element not exists",""
"passed","Tue Nov 29 08:24:40 GMT 2022","Tue Nov 29 08:24:41 GMT 2022","208","","IsDisplayed","","IsDisplayed","not exist element","not exist element",""
"passed","Tue Nov 29 08:26:35 GMT 2022","Tue Nov 29 08:26:35 GMT 2022","78","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","default random string length","default random string length",""
"passed","Tue Nov 29 08:26:35 GMT 2022","Tue Nov 29 08:26:35 GMT 2022","29","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","letters only","letters only",""
"passed","Tue Nov 29 08:26:37 GMT 2022","Tue Nov 29 08:26:38 GMT 2022","593","","verifyFilesInZip","","verifyFilesInZip","correct list without size","correct list without size",""
"passed","Tue Nov 29 08:25:32 GMT 2022","Tue Nov 29 08:25:34 GMT 2022","1557","","RefreshSpec","","RefreshSpec","RefreshTrue","RefreshTrue",""
"passed","Tue Nov 29 08:23:19 GMT 2022","Tue Nov 29 08:23:21 GMT 2022","1868","","waitForAlertText","","waitForAlertText","correct text","correct text",""
"passed","Tue Nov 29 08:25:33 GMT 2022","Tue Nov 29 08:26:34 GMT 2022","60781","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements, element doesn't exists","Expect number of elements, element doesn't exists",""
"passed","Tue Nov 29 08:24:18 GMT 2022","Tue Nov 29 08:24:18 GMT 2022","252","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"passed","Tue Nov 29 08:26:49 GMT 2022","Tue Nov 29 08:26:50 GMT 2022","957","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within given timeout ","Validate text found within given timeout ",""
"passed","Tue Nov 29 08:24:54 GMT 2022","Tue Nov 29 08:25:54 GMT 2022","60299","","waitForExist","","waitForExist","not existing element","not existing element",""
"passed","Tue Nov 29 08:23:01 GMT 2022","Tue Nov 29 08:23:04 GMT 2022","3243","","addValue","","addValue","add value to empty input","add value to empty input",""
"passed","Tue Nov 29 08:26:31 GMT 2022","Tue Nov 29 08:26:31 GMT 2022","371","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","notDisplayed but exist element ","notDisplayed but exist element ",""
"passed","Tue Nov 29 08:24:45 GMT 2022","Tue Nov 29 08:24:45 GMT 2022","358","","isEnabled","","isEnabled","check enabled element","check enabled element",""
"passed","Tue Nov 29 08:23:51 GMT 2022","Tue Nov 29 08:23:52 GMT 2022","193","","getCssProperty","","getCssProperty","null params","null params",""
"passed","Tue Nov 29 08:25:59 GMT 2022","Tue Nov 29 08:26:00 GMT 2022","380","","SendKeysSpec","","SendKeysSpec","send string twice","send string twice",""
"passed","Tue Nov 29 08:26:20 GMT 2022","Tue Nov 29 08:26:21 GMT 2022","639","","switchToIframe","","switchToIframe","Switch to iframe, header text at iFrame 2","Switch to iframe, header text at iFrame 2",""
"passed","Tue Nov 29 08:24:35 GMT 2022","Tue Nov 29 08:25:35 GMT 2022","60332","","waitForText","","waitForText","fail on case sensitive","fail on case sensitive",""
"passed","Tue Nov 29 08:26:24 GMT 2022","Tue Nov 29 08:26:28 GMT 2022","3505","","switchToIframe","","switchToIframe","Outside iframe context not accessible after switch","Outside iframe context not accessible after switch",""
"passed","Tue Nov 29 08:23:43 GMT 2022","Tue Nov 29 08:23:43 GMT 2022","202","","GetCookieSpec","","GetCookieSpec","get cookie by name","get cookie by name",""
"passed","Tue Nov 29 08:25:24 GMT 2022","Tue Nov 29 08:25:24 GMT 2022","17","","NormalizeUrl","","NormalizeUrl","expect / removed","expect / removed",""
