"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 29 09:34:51 GMT 2021","Wed Dec 29 09:34:53 GMT 2021","1853","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","disappearing element","disappearing element",""
"passed","Wed Dec 29 09:34:42 GMT 2021","Wed Dec 29 09:34:42 GMT 2021","26","","NormalizeUrl","","NormalizeUrl","empty string","empty string",""
"passed","Wed Dec 29 09:33:49 GMT 2021","Wed Dec 29 09:33:51 GMT 2021","1496","","clearValue","","clearValue","clear value of text area","clear value of text area",""
"passed","Wed Dec 29 09:34:42 GMT 2021","Wed Dec 29 09:34:42 GMT 2021","41","","NormalizeUrl","","NormalizeUrl","expect // removed","expect // removed",""
"passed","Wed Dec 29 09:35:02 GMT 2021","Wed Dec 29 09:35:02 GMT 2021","685","","SendKeysSpec","","SendKeysSpec","Special Key Emoji","Special Key Emoji",""
"passed","Wed Dec 29 09:35:21 GMT 2021","Wed Dec 29 09:35:24 GMT 2021","3125","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text not found within default timeout and default error message shown","Validate text not found within default timeout and default error message shown",""
"passed","Wed Dec 29 09:34:47 GMT 2021","Wed Dec 29 09:34:49 GMT 2021","1589","","RefreshSpec","","RefreshSpec","RefreshTrue","RefreshTrue",""
"passed","Wed Dec 29 09:34:37 GMT 2021","Wed Dec 29 09:34:40 GMT 2021","3673","","isEnabled","","isEnabled","check not existing element","check not existing element",""
"passed","Wed Dec 29 09:34:11 GMT 2021","Wed Dec 29 09:34:13 GMT 2021","1714","","waitForText","","waitForText","dynamic text","dynamic text",""
"passed","Wed Dec 29 09:33:47 GMT 2021","Wed Dec 29 09:33:49 GMT 2021","2170","","clearValue","","clearValue","clear value of text","clear value of text",""
"passed","Wed Dec 29 09:34:33 GMT 2021","Wed Dec 29 09:34:34 GMT 2021","1002","","getValue","","getValue","get value of input element","get value of input element",""
"passed","Wed Dec 29 09:34:10 GMT 2021","Wed Dec 29 09:34:14 GMT 2021","4084","","expectNoAttributeValue","","expectNoAttributeValue","Element not exists","Element not exists",""
"passed","Wed Dec 29 09:34:52 GMT 2021","Wed Dec 29 09:34:54 GMT 2021","1173","","scrollTo","","scrollTo","scroll to element with lazy load","scroll to element with lazy load",""
"passed","Wed Dec 29 09:34:10 GMT 2021","Wed Dec 29 09:34:14 GMT 2021","3478","","waitForAlertText","","waitForAlertText","no alert","no alert",""
"passed","Wed Dec 29 09:33:47 GMT 2021","Wed Dec 29 09:33:49 GMT 2021","1820","","DeleteCookieSpec","","DeleteCookieSpec","expect empty cookie","expect empty cookie",""
"passed","Wed Dec 29 09:34:46 GMT 2021","Wed Dec 29 09:34:50 GMT 2021","3817","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","displayed element","displayed element",""
"passed","Wed Dec 29 09:35:10 GMT 2021","Wed Dec 29 09:35:10 GMT 2021","63","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","strings are randoms","strings are randoms",""
"passed","Wed Dec 29 09:35:20 GMT 2021","Wed Dec 29 09:35:23 GMT 2021","3127","","waitForEnabled","","waitForEnabled","element not exists","element not exists",""
"passed","Wed Dec 29 09:33:51 GMT 2021","Wed Dec 29 09:33:52 GMT 2021","1521","","clearValue","","clearValue","clear value of disable input selector","clear value of disable input selector",""
"passed","Wed Dec 29 09:34:09 GMT 2021","Wed Dec 29 09:34:09 GMT 2021","464","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Check Result contains element key (object)","Check Result contains element key (object)",""
"passed","Wed Dec 29 09:34:43 GMT 2021","Wed Dec 29 09:34:47 GMT 2021","3495","","waitForExist reverse:true","","waitForExist reverse:true","fail on existing element","fail on existing element",""
"passed","Wed Dec 29 09:34:58 GMT 2021","Wed Dec 29 09:34:59 GMT 2021","909","","SendKeysSpec","","SendKeysSpec","send an array of strings","send an array of strings",""
"passed","Wed Dec 29 09:34:57 GMT 2021","Wed Dec 29 09:34:58 GMT 2021","1427","","SendKeysSpec","","SendKeysSpec","send string","send string",""
"passed","Wed Dec 29 09:35:14 GMT 2021","Wed Dec 29 09:35:16 GMT 2021","1836","","waitForDisplayed","","waitForDisplayed","wait for visible element","wait for visible element",""
"passed","Wed Dec 29 09:34:25 GMT 2021","Wed Dec 29 09:34:25 GMT 2021","611","","getNumberOfElements","","getNumberOfElements","undefined selector value","undefined selector value",""
"passed","Wed Dec 29 09:35:13 GMT 2021","Wed Dec 29 09:35:14 GMT 2021","346","","verifyFilesInZip","","verifyFilesInZip","correct list with size","correct list with size",""
"passed","Wed Dec 29 09:34:27 GMT 2021","Wed Dec 29 09:34:28 GMT 2021","859","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate single result ","Validate single result ",""
"passed","Wed Dec 29 09:34:42 GMT 2021","Wed Dec 29 09:34:42 GMT 2021","31","","NormalizeUrl","","NormalizeUrl","//// to be empty","//// to be empty",""
"passed","Wed Dec 29 09:34:50 GMT 2021","Wed Dec 29 09:34:51 GMT 2021","703","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","not exist element ","not exist element ",""
"passed","Wed Dec 29 09:35:11 GMT 2021","Wed Dec 29 09:35:11 GMT 2021","374","","tab actions","","tab actions","switch to incorrect window id","switch to incorrect window id",""
"passed","Wed Dec 29 09:34:14 GMT 2021","Wed Dec 29 09:34:17 GMT 2021","3271","","waitForAttributeValue","","waitForAttributeValue","incorrect attribute","incorrect attribute",""
"passed","Wed Dec 29 09:33:49 GMT 2021","Wed Dec 29 09:33:51 GMT 2021","1575","","acceptAlert","","acceptAlert","no alert","no alert",""
"passed","Wed Dec 29 09:34:12 GMT 2021","Wed Dec 29 09:34:13 GMT 2021","267","","GetCookieSpec","","GetCookieSpec","get cookie by name","get cookie by name",""
"passed","Wed Dec 29 09:34:33 GMT 2021","Wed Dec 29 09:34:34 GMT 2021","1084","","moveToSpec","","moveToSpec","hoverTrue","hoverTrue",""
"passed","Wed Dec 29 09:33:47 GMT 2021","Wed Dec 29 09:33:50 GMT 2021","2552","","click","","click","singleClick ","singleClick ",""
"passed","Wed Dec 29 09:33:47 GMT 2021","Wed Dec 29 09:33:49 GMT 2021","1880","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"passed","Wed Dec 29 09:35:12 GMT 2021","Wed Dec 29 09:35:15 GMT 2021","3618","","waitForClickable","","waitForClickable","not clickable element","not clickable element",""
"passed","Wed Dec 29 09:35:16 GMT 2021","Wed Dec 29 09:35:19 GMT 2021","3583","","switchToIframe","","switchToIframe","Incorrect iframe selector","Incorrect iframe selector",""
"passed","Wed Dec 29 09:34:35 GMT 2021","Wed Dec 29 09:34:36 GMT 2021","845","","isEnabled","","isEnabled","check enabled element","check enabled element",""
"passed","Wed Dec 29 09:34:20 GMT 2021","Wed Dec 29 09:34:21 GMT 2021","824","","getLocation","","getLocation","get element Location","get element Location",""
"passed","Wed Dec 29 09:35:00 GMT 2021","Wed Dec 29 09:35:01 GMT 2021","741","","SendKeysSpec","","SendKeysSpec","Add text after sending enter for new line","Add text after sending enter for new line",""
"passed","Wed Dec 29 09:34:58 GMT 2021","Wed Dec 29 09:34:59 GMT 2021","839","","setCookies","","setCookies","expect unique cookie","expect unique cookie",""
"passed","Wed Dec 29 09:34:10 GMT 2021","Wed Dec 29 09:34:11 GMT 2021","1130","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"passed","Wed Dec 29 09:34:59 GMT 2021","Wed Dec 29 09:34:59 GMT 2021","461","","setCookies","","setCookies","validate cookie name","validate cookie name",""
"passed","Wed Dec 29 09:35:15 GMT 2021","Wed Dec 29 09:35:16 GMT 2021","880","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within given timeout ","Validate text found within given timeout ",""
"passed","Wed Dec 29 09:34:36 GMT 2021","Wed Dec 29 09:34:37 GMT 2021","619","","isEnabled","","isEnabled","check disabled element","check disabled element",""
"passed","Wed Dec 29 09:34:58 GMT 2021","Wed Dec 29 09:34:59 GMT 2021","961","","selectByValue","","selectByValue","select by none existing value","select by none existing value",""
"passed","Wed Dec 29 09:33:47 GMT 2021","Wed Dec 29 09:33:55 GMT 2021","7774","","BackSpec","","BackSpec","back browser","back browser",""
"passed","Wed Dec 29 09:33:58 GMT 2021","Wed Dec 29 09:34:01 GMT 2021","3452","","doubleClick","","doubleClick","double click disabled element","double click disabled element",""
"passed","Wed Dec 29 09:34:29 GMT 2021","Wed Dec 29 09:34:32 GMT 2021","3566","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate element not exist error thrown","Validate element not exist error thrown",""
"passed","Wed Dec 29 09:34:27 GMT 2021","Wed Dec 29 09:34:27 GMT 2021","453","","GetTestDataFileSpec","","GetTestDataFileSpec","Check incorrect user","Check incorrect user",""
"passed","Wed Dec 29 09:34:38 GMT 2021","Wed Dec 29 09:34:38 GMT 2021","770","","waitForExist","","waitForExist","existing element","existing element",""
"passed","Wed Dec 29 09:34:19 GMT 2021","Wed Dec 29 09:34:19 GMT 2021","313","","getCssProperty","","getCssProperty","null params","null params",""
"passed","Wed Dec 29 09:34:04 GMT 2021","Wed Dec 29 09:34:05 GMT 2021","913","","waitForUrl","","waitForUrl","correct url","correct url",""
"passed","Wed Dec 29 09:34:49 GMT 2021","Wed Dec 29 09:34:51 GMT 2021","1164","","RightClickSpec","","RightClickSpec","RightClick ","RightClick ",""
"passed","Wed Dec 29 09:34:03 GMT 2021","Wed Dec 29 09:34:06 GMT 2021","2638","","waitForAlertText","","waitForAlertText","correct text","correct text",""
"passed","Wed Dec 29 09:33:52 GMT 2021","Wed Dec 29 09:33:53 GMT 2021","572","","dragAndDrop","","dragAndDrop","drag and drop to non integer coordinate","drag and drop to non integer coordinate",""
"passed","Wed Dec 29 09:35:09 GMT 2021","Wed Dec 29 09:35:12 GMT 2021","3837","","switchToIframe","","switchToIframe","iframe 2 not available after switch to iframe 1","iframe 2 not available after switch to iframe 1",""
"passed","Wed Dec 29 09:34:41 GMT 2021","Wed Dec 29 09:34:43 GMT 2021","1898","","waitForExist reverse:true","","waitForExist reverse:true","disappearing element","disappearing element",""
"passed","Wed Dec 29 09:35:10 GMT 2021","Wed Dec 29 09:35:10 GMT 2021","46","","TestUtilsSpec: isTimePassed","","TestUtilsSpec: isTimePassed","expect to return false","expect to return false",""
"passed","Wed Dec 29 09:34:12 GMT 2021","Wed Dec 29 09:34:12 GMT 2021","472","","GetCookieSpec","","GetCookieSpec","expect unique cookie","expect unique cookie",""
"passed","Wed Dec 29 09:33:50 GMT 2021","Wed Dec 29 09:33:51 GMT 2021","1626","","addValue","","addValue","add value to existing input","add value to existing input",""
"passed","Wed Dec 29 09:34:24 GMT 2021","Wed Dec 29 09:34:25 GMT 2021","391","","getNumberOfElements","","getNumberOfElements","get number of not existing elements","get number of not existing elements",""
"passed","Wed Dec 29 09:33:47 GMT 2021","Wed Dec 29 09:33:51 GMT 2021","3477","","doubleClick","","doubleClick","successful double click","successful double click",""
"passed","Wed Dec 29 09:34:06 GMT 2021","Wed Dec 29 09:34:10 GMT 2021","3574","","expectNoAttributeValue","","expectNoAttributeValue","Exact match error thrown","Exact match error thrown",""
"passed","Wed Dec 29 09:33:55 GMT 2021","Wed Dec 29 09:33:59 GMT 2021","3364","","addValue","","addValue","add value to not existing input","add value to not existing input",""
"passed","Wed Dec 29 09:34:05 GMT 2021","Wed Dec 29 09:34:09 GMT 2021","3723","","waitForUrl","","waitForUrl","incorrect url","incorrect url",""
"passed","Wed Dec 29 09:34:28 GMT 2021","Wed Dec 29 09:34:29 GMT 2021","606","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate multiple result select first one ","Validate multiple result select first one ",""
"passed","Wed Dec 29 09:34:13 GMT 2021","Wed Dec 29 09:34:13 GMT 2021","213","","GetCookieSpec","","GetCookieSpec","get cookie by value","get cookie by value",""
"passed","Wed Dec 29 09:35:09 GMT 2021","Wed Dec 29 09:35:10 GMT 2021","74","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","default random string length","default random string length",""
"passed","Wed Dec 29 09:34:34 GMT 2021","Wed Dec 29 09:34:35 GMT 2021","679","","getValue","","getValue","get value of text area","get value of text area",""
"passed","Wed Dec 29 09:34:14 GMT 2021","Wed Dec 29 09:34:18 GMT 2021","3635","","expectNoAttributeValue","","expectNoAttributeValue","Attribute not exists","Attribute not exists",""
"passed","Wed Dec 29 09:34:06 GMT 2021","Wed Dec 29 09:34:07 GMT 2021","1235","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements equals","Expect number of elements equals",""
"passed","Wed Dec 29 09:34:15 GMT 2021","Wed Dec 29 09:34:18 GMT 2021","3284","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements, element doesn't exists","Expect number of elements, element doesn't exists",""
"passed","Wed Dec 29 09:34:40 GMT 2021","Wed Dec 29 09:34:41 GMT 2021","1191","","url","","url","navigate successfully","navigate successfully",""
"passed","Wed Dec 29 09:33:47 GMT 2021","Wed Dec 29 09:33:49 GMT 2021","1830","","acceptAlert","","acceptAlert","accept existing alert","accept existing alert",""
"passed","Wed Dec 29 09:35:10 GMT 2021","Wed Dec 29 09:35:11 GMT 2021","896","","tab actions","","tab actions","switch to tab","switch to tab",""
"passed","Wed Dec 29 09:33:49 GMT 2021","Wed Dec 29 09:33:51 GMT 2021","1602","","dragAndDrop","","dragAndDrop","drag and drop to element","drag and drop to element",""
