"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 28 08:27:40 GMT 2022","Mon Nov 28 08:27:40 GMT 2022","23","","TestUtilsSpec: isTimePassed","","TestUtilsSpec: isTimePassed","expect to return false","expect to return false",""
"unknown","Mon Nov 28 08:27:20 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624040632","","selectByValue","","selectByValue","select by existing value","select by existing value",""
"unknown","Mon Nov 28 08:27:33 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624053462","","startNetworkAudit","","startNetworkAudit","successfully start and read network audit","successfully start and read network audit",""
"passed","Mon Nov 28 08:27:10 GMT 2022","Mon Nov 28 08:27:10 GMT 2022","158","","NormalizeUrl","","NormalizeUrl","empty string","empty string",""
"unknown","Mon Nov 28 08:27:46 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624066770","","waitForEnabled","","waitForEnabled","element enabled","element enabled",""
"passed","Mon Nov 28 08:27:40 GMT 2022","Mon Nov 28 08:27:40 GMT 2022","73","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","random string of provided length","random string of provided length",""
"unknown","Mon Nov 28 08:25:59 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623959498","","dragAndDrop","","dragAndDrop","drag and drop to coordinate","drag and drop to coordinate",""
"unknown","Mon Nov 28 08:27:16 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624036437","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","displayed element","displayed element",""
"unknown","Mon Nov 28 08:26:50 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624010556","","moveToSpec","","moveToSpec","hoverTrue","hoverTrue",""
"unknown","Mon Nov 28 08:26:55 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624015910","","waitForExist","","waitForExist","existing element","existing element",""
"unknown","Mon Nov 28 08:27:03 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624023424","","url","","url","navigate successfully","navigate successfully",""
"unknown","Mon Nov 28 08:27:44 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624064843","","waitForDisplayed","","waitForDisplayed","wait for visible element","wait for visible element",""
"unknown","Mon Nov 28 08:27:24 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624044159","","SendKeysSpec","","SendKeysSpec","send string","send string",""
"passed","Mon Nov 28 08:27:10 GMT 2022","Mon Nov 28 08:27:10 GMT 2022","86","","NormalizeUrl","","NormalizeUrl","throw if url is undefined","throw if url is undefined",""
"unknown","Mon Nov 28 08:26:18 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623978136","","waitForAttributeValue","","waitForAttributeValue","correct value","correct value",""
"unknown","Mon Nov 28 08:26:23 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623983378","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements equals","Expect number of elements equals",""
"passed","Mon Nov 28 08:27:10 GMT 2022","Mon Nov 28 08:27:10 GMT 2022","123","","NormalizeUrl","","NormalizeUrl","expect // removed","expect // removed",""
"unknown","Mon Nov 28 08:26:42 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624002201","","GetTestDataFileSpec","","GetTestDataFileSpec","Check get test data from env file","Check get test data from env file",""
"unknown","Mon Nov 28 08:25:57 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623957289","","BackSpec","","BackSpec","back browser","back browser",""
"unknown","Mon Nov 28 08:27:42 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624062325","","waitForClickable","","waitForClickable","not clickable element","not clickable element",""
"unknown","Mon Nov 28 08:26:24 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623984928","","waitForUrl","","waitForUrl","correct url","correct url",""
"unknown","Mon Nov 28 08:27:10 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624030450","","waitForExist reverse:true","","waitForExist reverse:true","disappearing element","disappearing element",""
"unknown","Mon Nov 28 08:27:42 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624062190","","verifyFilesInZip","","verifyFilesInZip","correct list without size","correct list without size",""
"unknown","Mon Nov 28 08:25:59 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623959097","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"unknown","Mon Nov 28 08:26:18 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623978040","","waitForAlertText","","waitForAlertText","correct text","correct text",""
"unknown","Mon Nov 28 08:26:59 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624019839","","isSelected","","isSelected","element selected","element selected",""
"passed","Mon Nov 28 08:27:40 GMT 2022","Mon Nov 28 08:27:40 GMT 2022","27","","TestUtilsSpec: extractNumbersFromString","","TestUtilsSpec: extractNumbersFromString","string contains letters and numbers","string contains letters and numbers",""
"unknown","Mon Nov 28 08:26:24 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623984680","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"unknown","Mon Nov 28 08:27:16 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624036512","","scrollTo","","scrollTo","scroll to element with lazy load","scroll to element with lazy load",""
"unknown","Mon Nov 28 08:26:49 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624009884","","isDisplayedInViewport","","isDisplayedInViewport","element displayed in viewport","element displayed in viewport",""
"unknown","Mon Nov 28 08:26:22 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623982409","","expectNoAttributeValue","","expectNoAttributeValue","Doesn't contains value","Doesn't contains value",""
"passed","Mon Nov 28 08:27:10 GMT 2022","Mon Nov 28 08:27:10 GMT 2022","94","","NormalizeUrl","","NormalizeUrl","//// to be empty","//// to be empty",""
"unknown","Mon Nov 28 08:25:59 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623959451","","CloseNewTabSpec","","CloseNewTabSpec","Open new tab and then close it","Open new tab and then close it",""
"unknown","Mon Nov 28 08:26:36 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623996023","","getSizeSpec","","getSizeSpec","get element size","get element size",""
"passed","Mon Nov 28 08:27:10 GMT 2022","Mon Nov 28 08:27:10 GMT 2022","80","","NormalizeUrl","","NormalizeUrl","expect / removed","expect / removed",""
"unknown","Mon Nov 28 08:25:58 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623958553","","addValue","","addValue","add value to empty input","add value to empty input",""
"unknown","Mon Nov 28 08:27:40 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624060174","","tab actions","","tab actions","get tab ids","get tab ids",""
"unknown","Mon Nov 28 08:27:13 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624033819","","RightClickSpec","","RightClickSpec","RightClick ","RightClick ",""
"unknown","Mon Nov 28 08:26:51 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624011246","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"passed","Mon Nov 28 08:27:39 GMT 2022","Mon Nov 28 08:27:40 GMT 2022","159","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","default random string length","default random string length",""
"passed","Mon Nov 28 08:27:40 GMT 2022","Mon Nov 28 08:27:40 GMT 2022","57","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","letters only","letters only",""
"unknown","Mon Nov 28 08:27:12 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624032267","","RefreshSpec","","RefreshSpec","RefreshTrue","RefreshTrue",""
"unknown","Mon Nov 28 08:27:38 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624058023","","SwitchToParentIframe","","SwitchToParentIframe","Switch from iframe to Iframe parent","Switch from iframe to Iframe parent",""
"unknown","Mon Nov 28 08:26:43 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624003534","","getNumberOfElements","","getNumberOfElements","get number of existing elements","get number of existing elements",""
"unknown","Mon Nov 28 08:26:49 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624009328","","getValue","","getValue","get value of input element","get value of input element",""
"unknown","Mon Nov 28 08:26:25 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623985480","","waitForText","","waitForText","correct text","correct text",""
"unknown","Mon Nov 28 08:25:58 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623958107","","clearValue","","clearValue","clear value of text","clear value of text",""
"passed","Mon Nov 28 08:27:10 GMT 2022","Mon Nov 28 08:27:10 GMT 2022","109","","NormalizeUrl","","NormalizeUrl","throw if url is null","throw if url is null",""
"passed","Mon Nov 28 08:27:47 GMT 2022","Mon Nov 28 08:27:48 GMT 2022","126","","setWindowSize","","setWindowSize","change window size","change window size",""
"unknown","Mon Nov 28 08:26:51 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624011941","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate single result ","Validate single result ",""
"unknown","Mon Nov 28 08:25:59 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623959415","","doubleClick","","doubleClick","successful double click","successful double click",""
"unknown","Mon Nov 28 08:27:31 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624051337","","SetValue","","SetValue","setValue","setValue",""
"unknown","Mon Nov 28 08:26:53 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624013870","","isEnabled","","isEnabled","check enabled element","check enabled element",""
"unknown","Mon Nov 28 08:26:24 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623984900","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Check Result contains element key (object)","Check Result contains element key (object)",""
"unknown","Mon Nov 28 08:26:48 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624008236","","IsDisplayed","","IsDisplayed","displayed true","displayed true",""
"unknown","Mon Nov 28 08:27:18 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624038603","","ScrollTo","","ScrollTo","scroll to y value","scroll to y value",""
"unknown","Mon Nov 28 08:25:58 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623958795","","acceptAlert","","acceptAlert","accept existing alert","accept existing alert",""
"unknown","Mon Nov 28 08:26:13 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623973578","","execute","","execute","successful execution","successful execution",""
"passed","Mon Nov 28 08:27:40 GMT 2022","Mon Nov 28 08:27:40 GMT 2022","45","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","strings are randoms","strings are randoms",""
"passed","Mon Nov 28 08:27:40 GMT 2022","Mon Nov 28 08:27:40 GMT 2022","28","","TestUtilsSpec: isTimePassed","","TestUtilsSpec: isTimePassed","expect to return true","expect to return true",""
"unknown","Mon Nov 28 08:27:47 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624067650","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within given timeout ","Validate text found within given timeout ",""
"unknown","Mon Nov 28 08:25:59 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623959121","","DeleteCookieSpec","","DeleteCookieSpec","expect empty cookie","expect empty cookie",""
"unknown","Mon Nov 28 08:25:57 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623957933","","click","","click","singleClick ","singleClick ",""
"unknown","Mon Nov 28 08:26:28 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669623988262","","getCssProperty","","getCssProperty","retrieve css property","retrieve css property",""
"unknown","Mon Nov 28 08:27:35 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669624055670","","switchToIframe","","switchToIframe","Switch to iframe, header text at iFrame 2","Switch to iframe, header text at iFrame 2",""
