"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 28 08:56:05 GMT 2022","Mon Nov 28 08:56:05 GMT 2022","265","","getSizeSpec","","getSizeSpec","get element size","get element size",""
"passed","Mon Nov 28 08:58:50 GMT 2022","Mon Nov 28 08:58:54 GMT 2022","4214","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text not found withing timeout and error message shown ","Validate text not found withing timeout and error message shown ",""
"passed","Mon Nov 28 08:58:36 GMT 2022","Mon Nov 28 08:58:36 GMT 2022","10","","TestUtilsSpec: isTimePassed","","TestUtilsSpec: isTimePassed","expect to return false","expect to return false",""
"passed","Mon Nov 28 08:57:57 GMT 2022","Mon Nov 28 08:57:57 GMT 2022","229","","selectByValue","","selectByValue","select by none existing value","select by none existing value",""
"failed","Mon Nov 28 08:56:29 GMT 2022","Mon Nov 28 08:56:29 GMT 2022","405","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"passed","Mon Nov 28 08:55:51 GMT 2022","Mon Nov 28 08:55:51 GMT 2022","111","","GetCookieSpec","","GetCookieSpec","get cookie by value","get cookie by value",""
"passed","Mon Nov 28 08:58:05 GMT 2022","Mon Nov 28 08:58:05 GMT 2022","300","","SendKeysSpec","","SendKeysSpec","Array of Special Keys","Array of Special Keys",""
"failed","Mon Nov 28 08:55:19 GMT 2022","Mon Nov 28 08:55:28 GMT 2022","9087","","BackSpec","","BackSpec","back browser","back browser",""
"passed","Mon Nov 28 08:55:20 GMT 2022","Mon Nov 28 08:55:22 GMT 2022","2672","","dragAndDrop","","dragAndDrop","drag and drop to coordinate","drag and drop to coordinate",""
"passed","Mon Nov 28 08:59:44 GMT 2022","Mon Nov 28 08:59:46 GMT 2022","1168","","waitForClickable","","waitForClickable","custom options","custom options",""
"passed","Mon Nov 28 08:58:35 GMT 2022","Mon Nov 28 08:58:35 GMT 2022","40","","TestUtilsSpec: extractNumbersFromString","","TestUtilsSpec: extractNumbersFromString","string contains letters and numbers","string contains letters and numbers",""
"passed","Mon Nov 28 08:55:43 GMT 2022","Mon Nov 28 08:55:43 GMT 2022","329","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Fail to obtain element due to wrong path","Fail to obtain element due to wrong path",""
"passed","Mon Nov 28 08:58:13 GMT 2022","Mon Nov 28 08:58:13 GMT 2022","442","","SetValue","","SetValue","setValue","setValue",""
"passed","Mon Nov 28 08:55:25 GMT 2022","Mon Nov 28 08:56:25 GMT 2022","60386","","dragAndDrop","","dragAndDrop","drag and drop to non existing element","drag and drop to non existing element",""
"passed","Mon Nov 28 08:55:24 GMT 2022","Mon Nov 28 08:55:24 GMT 2022","467","","dragAndDrop","","dragAndDrop","drag and drop to undefined element","drag and drop to undefined element",""
"passed","Mon Nov 28 08:58:04 GMT 2022","Mon Nov 28 08:58:05 GMT 2022","324","","SendKeysSpec","","SendKeysSpec","send string twice","send string twice",""
"passed","Mon Nov 28 08:57:00 GMT 2022","Mon Nov 28 08:58:00 GMT 2022","60188","","waitForExist","","waitForExist","not existing element","not existing element",""
"passed","Mon Nov 28 08:57:41 GMT 2022","Mon Nov 28 08:58:41 GMT 2022","60212","","waitForAttributeValue","","waitForAttributeValue","incorrect attribute","incorrect attribute",""
"passed","Mon Nov 28 08:56:09 GMT 2022","Mon Nov 28 08:56:09 GMT 2022","140","","getNumberOfElements","","getNumberOfElements","get number of not existing elements","get number of not existing elements",""
"passed","Mon Nov 28 08:58:32 GMT 2022","Mon Nov 28 08:58:32 GMT 2022","356","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","notDisplayed but exist element ","notDisplayed but exist element ",""
"passed","Mon Nov 28 08:57:28 GMT 2022","Mon Nov 28 08:57:28 GMT 2022","7","","NormalizeUrl","","NormalizeUrl","//// to be empty","//// to be empty",""
"passed","Mon Nov 28 08:59:44 GMT 2022","Mon Nov 28 08:59:44 GMT 2022","176","","waitForClickable","","waitForClickable","clickable element","clickable element",""
"passed","Mon Nov 28 08:57:49 GMT 2022","Mon Nov 28 08:57:49 GMT 2022","290","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element in viewport","scrollIntoView to element in viewport",""
"passed","Mon Nov 28 08:56:43 GMT 2022","Mon Nov 28 08:56:45 GMT 2022","1562","","waitForText","","waitForText","dynamic text","dynamic text",""
"passed","Mon Nov 28 08:56:49 GMT 2022","Mon Nov 28 08:56:50 GMT 2022","206","","IsDisplayed","","IsDisplayed","not exist element","not exist element",""
"passed","Mon Nov 28 08:55:58 GMT 2022","Mon Nov 28 08:55:58 GMT 2022","168","","getCssProperty","","getCssProperty","incorrect css property","incorrect css property",""
"passed","Mon Nov 28 08:57:45 GMT 2022","Mon Nov 28 08:58:45 GMT 2022","60264","","waitForText","","waitForText","fail on wrong text","fail on wrong text",""
"passed","Mon Nov 28 08:55:22 GMT 2022","Mon Nov 28 08:55:24 GMT 2022","1771","","dragAndDrop","","dragAndDrop","drag and drop to element","drag and drop to element",""
"passed","Mon Nov 28 08:55:42 GMT 2022","Mon Nov 28 08:55:43 GMT 2022","758","","waitForText","","waitForText","correct text","correct text",""
"passed","Mon Nov 28 08:57:56 GMT 2022","Mon Nov 28 08:57:57 GMT 2022","322","","selectByValue","","selectByValue","select by existing value","select by existing value",""
"passed","Mon Nov 28 08:55:40 GMT 2022","Mon Nov 28 08:56:40 GMT 2022","60694","","waitForAttributeValue","","waitForAttributeValue","incorrect value","incorrect value",""
"passed","Mon Nov 28 08:55:17 GMT 2022","Mon Nov 28 08:55:20 GMT 2022","2390","","addValue","","addValue","add value to empty input","add value to empty input",""
"passed","Mon Nov 28 08:55:43 GMT 2022","Mon Nov 28 08:56:44 GMT 2022","60648","","waitForAlertText","","waitForAlertText","incorrect text","incorrect text",""
"passed","Mon Nov 28 08:57:57 GMT 2022","Mon Nov 28 08:58:57 GMT 2022","60212","","selectByValue","","selectByValue","select hidden element by value","select hidden element by value",""
"passed","Mon Nov 28 08:57:31 GMT 2022","Mon Nov 28 08:58:32 GMT 2022","60230","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","displayed element","displayed element",""
"passed","Mon Nov 28 08:55:23 GMT 2022","Mon Nov 28 08:56:24 GMT 2022","60965","","doubleClick","","doubleClick","double click not existing element","double click not existing element",""
"passed","Mon Nov 28 08:56:16 GMT 2022","Mon Nov 28 08:56:16 GMT 2022","176","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate multiple result select first one ","Validate multiple result select first one ",""
"passed","Mon Nov 28 08:56:49 GMT 2022","Mon Nov 28 08:56:49 GMT 2022","151","","IsDisplayed","","IsDisplayed","displayed false","displayed false",""
"passed","Mon Nov 28 08:58:27 GMT 2022","Mon Nov 28 08:59:27 GMT 2022","60200","","switchToIframe","","switchToIframe","Incorrect iframe selector","Incorrect iframe selector",""
"passed","Mon Nov 28 08:55:19 GMT 2022","Mon Nov 28 08:55:23 GMT 2022","3869","","doubleClick","","doubleClick","successful double click","successful double click",""
"passed","Mon Nov 28 08:58:04 GMT 2022","Mon Nov 28 08:58:04 GMT 2022","314","","SendKeysSpec","","SendKeysSpec","send an array of strings","send an array of strings",""
"passed","Mon Nov 28 08:58:05 GMT 2022","Mon Nov 28 08:58:05 GMT 2022","240","","SendKeysSpec","","SendKeysSpec","Special Key Emoji","Special Key Emoji",""
"passed","Mon Nov 28 08:56:01 GMT 2022","Mon Nov 28 08:56:01 GMT 2022","249","","getLocation","","getLocation","get element Location","get element Location",""
"passed","Mon Nov 28 08:55:21 GMT 2022","Mon Nov 28 08:55:23 GMT 2022","1546","","acceptAlert","","acceptAlert","no alert","no alert",""
"passed","Mon Nov 28 08:59:49 GMT 2022","Mon Nov 28 09:00:49 GMT 2022","60146","","waitForEnabled","","waitForEnabled","element not exists","element not exists",""
"passed","Mon Nov 28 08:55:47 GMT 2022","Mon Nov 28 08:55:47 GMT 2022","233","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"passed","Mon Nov 28 08:57:20 GMT 2022","Mon Nov 28 08:57:20 GMT 2022","227","","isSelected","","isSelected","element selected","element selected",""
"passed","Mon Nov 28 08:57:28 GMT 2022","Mon Nov 28 08:57:28 GMT 2022","27","","NormalizeUrl","","NormalizeUrl","expect // removed","expect // removed",""
"passed","Mon Nov 28 08:56:40 GMT 2022","Mon Nov 28 08:57:41 GMT 2022","60159","","waitForAttributeValue","","waitForAttributeValue","incorrect selector","incorrect selector",""
"passed","Mon Nov 28 08:58:43 GMT 2022","Mon Nov 28 08:59:44 GMT 2022","60789","","waitForClickable","","waitForClickable","not clickable element","not clickable element",""
"passed","Mon Nov 28 08:56:45 GMT 2022","Mon Nov 28 08:56:46 GMT 2022","237","","isDisplayedInViewport","","isDisplayedInViewport","element displayed in viewport","element displayed in viewport",""
"passed","Mon Nov 28 08:58:09 GMT 2022","Mon Nov 28 08:58:09 GMT 2022","232","","setCookies","","setCookies","expect unique cookie","expect unique cookie",""
"passed","Mon Nov 28 08:58:04 GMT 2022","Mon Nov 28 08:58:04 GMT 2022","342","","SendKeysSpec","","SendKeysSpec","send string","send string",""
"passed","Mon Nov 28 08:56:44 GMT 2022","Mon Nov 28 08:57:44 GMT 2022","60387","","waitForAlertText","","waitForAlertText","no alert","no alert",""
"passed","Mon Nov 28 08:58:45 GMT 2022","Mon Nov 28 08:58:46 GMT 2022","1610","","waitForDisplayed","","waitForDisplayed","wait for visible element","wait for visible element",""
"passed","Mon Nov 28 08:58:54 GMT 2022","Mon Nov 28 08:58:54 GMT 2022","194","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within default timeout ","Validate text found within default timeout ",""
"passed","Mon Nov 28 08:57:53 GMT 2022","Mon Nov 28 08:57:53 GMT 2022","229","","ScrollTo","","ScrollTo","scroll to x value","scroll to x value",""
"passed","Mon Nov 28 08:56:53 GMT 2022","Mon Nov 28 08:56:53 GMT 2022","247","","isEnabled","","isEnabled","check enabled element","check enabled element",""
"passed","Mon Nov 28 08:56:33 GMT 2022","Mon Nov 28 08:56:33 GMT 2022","155","","getValue","","getValue","get value of text area","get value of text area",""
"passed","Mon Nov 28 08:55:40 GMT 2022","Mon Nov 28 08:55:41 GMT 2022","1087","","waitForUrl","","waitForUrl","correct url","correct url",""
"passed","Mon Nov 28 08:55:43 GMT 2022","Mon Nov 28 08:56:43 GMT 2022","60339","","waitForText","","waitForText","hidden text","hidden text",""
"passed","Mon Nov 28 08:55:41 GMT 2022","Mon Nov 28 08:56:42 GMT 2022","60724","","waitForUrl","","waitForUrl","incorrect url","incorrect url",""
"passed","Mon Nov 28 08:55:42 GMT 2022","Mon Nov 28 08:55:42 GMT 2022","621","","expectNoAttributeValue","","expectNoAttributeValue","Contains word substring","Contains word substring",""
"passed","Mon Nov 28 08:58:40 GMT 2022","Mon Nov 28 08:58:40 GMT 2022","402","","verifyFilesInZip","","verifyFilesInZip","correct list without size","correct list without size",""
"passed","Mon Nov 28 08:57:28 GMT 2022","Mon Nov 28 08:57:29 GMT 2022","1471","","waitForExist reverse:true","","waitForExist reverse:true","disappearing element","disappearing element",""
"passed","Mon Nov 28 08:55:51 GMT 2022","Mon Nov 28 08:55:51 GMT 2022","181","","GetCookieSpec","","GetCookieSpec","get cookie by name","get cookie by name",""
"passed","Mon Nov 28 08:59:47 GMT 2022","Mon Nov 28 09:00:47 GMT 2022","60135","","waitForDisplayed","","waitForDisplayed","hidden element","hidden element",""
"passed","Mon Nov 28 08:57:49 GMT 2022","Mon Nov 28 08:57:49 GMT 2022","323","","scrollTo","","scrollTo","scroll to already loaded element","scroll to already loaded element",""
"passed","Mon Nov 28 08:58:09 GMT 2022","Mon Nov 28 08:58:09 GMT 2022","140","","setCookies","","setCookies","validate cookie value","validate cookie value",""
"passed","Mon Nov 28 08:58:20 GMT 2022","Mon Nov 28 08:58:21 GMT 2022","347","","switchToIframe","","switchToIframe","Switch to iframe, header text at iFrame 2","Switch to iframe, header text at iFrame 2",""
"passed","Mon Nov 28 08:58:28 GMT 2022","Mon Nov 28 08:58:29 GMT 2022","183","","SwitchToParentIframe","","SwitchToParentIframe","Check to parent iframe without error","Check to parent iframe without error",""
