"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 13 10:23:20 GMT 2022","Sun Mar 13 10:23:21 GMT 2022","1123","","clearValue","","clearValue","clear value of disable input selector","clear value of disable input selector",""
"passed","Sun Mar 13 10:24:24 GMT 2022","Sun Mar 13 10:24:25 GMT 2022","490","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element in viewport","scrollIntoView to element in viewport",""
"passed","Sun Mar 13 10:24:26 GMT 2022","Sun Mar 13 10:24:27 GMT 2022","623","","ScrollTo","","ScrollTo","scroll to x value","scroll to x value",""
"passed","Sun Mar 13 10:24:53 GMT 2022","Sun Mar 13 10:24:56 GMT 2022","3296","","waitForEnabled","","waitForEnabled","element not exists","element not exists",""
"passed","Sun Mar 13 10:23:37 GMT 2022","Sun Mar 13 10:23:41 GMT 2022","3986","","waitForAlertText","","waitForAlertText","incorrect text","incorrect text",""
"passed","Sun Mar 13 10:24:44 GMT 2022","Sun Mar 13 10:24:44 GMT 2022","461","","tab actions","","tab actions","switch to incorrect window id","switch to incorrect window id",""
"passed","Sun Mar 13 10:24:09 GMT 2022","Sun Mar 13 10:24:12 GMT 2022","3468","","waitForExist","","waitForExist","not existing element","not existing element",""
"passed","Sun Mar 13 10:23:40 GMT 2022","Sun Mar 13 10:23:40 GMT 2022","632","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Check Result contains element key (object)","Check Result contains element key (object)",""
"passed","Sun Mar 13 10:23:59 GMT 2022","Sun Mar 13 10:24:00 GMT 2022","995","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"passed","Sun Mar 13 10:23:45 GMT 2022","Sun Mar 13 10:23:49 GMT 2022","3483","","getCssProperty","","getCssProperty","incorrect selector of an element","incorrect selector of an element",""
"passed","Sun Mar 13 10:24:11 GMT 2022","Sun Mar 13 10:24:11 GMT 2022","659","","url","","url","navigate successfully","navigate successfully",""
"passed","Sun Mar 13 10:23:19 GMT 2022","Sun Mar 13 10:23:20 GMT 2022","1419","","clearValue","","clearValue","clear value of text area","clear value of text area",""
"passed","Sun Mar 13 10:24:13 GMT 2022","Sun Mar 13 10:24:13 GMT 2022","68","","NormalizeUrl","","NormalizeUrl","throw if url is undefined","throw if url is undefined",""
"passed","Sun Mar 13 10:23:20 GMT 2022","Sun Mar 13 10:23:24 GMT 2022","3938","","doubleClick","","doubleClick","double click not existing element","double click not existing element",""
"passed","Sun Mar 13 10:24:06 GMT 2022","Sun Mar 13 10:24:07 GMT 2022","1581","","moveToSpec","","moveToSpec","hoverTrue","hoverTrue",""
"passed","Sun Mar 13 10:23:41 GMT 2022","Sun Mar 13 10:23:42 GMT 2022","1095","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"passed","Sun Mar 13 10:23:24 GMT 2022","Sun Mar 13 10:23:28 GMT 2022","3392","","addValue","","addValue","add value to not existing input","add value to not existing input",""
"passed","Sun Mar 13 10:23:41 GMT 2022","Sun Mar 13 10:23:42 GMT 2022","628","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","First Element Returned","First Element Returned",""
"passed","Sun Mar 13 10:23:34 GMT 2022","Sun Mar 13 10:23:35 GMT 2022","1019","","waitForAttributeValue","","waitForAttributeValue","correct value","correct value",""
"passed","Sun Mar 13 10:24:47 GMT 2022","Sun Mar 13 10:24:51 GMT 2022","3882","","waitForClickable","","waitForClickable","not clickable element","not clickable element",""
"passed","Sun Mar 13 10:23:18 GMT 2022","Sun Mar 13 10:23:20 GMT 2022","1310","","dismissAlert","","dismissAlert","no alert","no alert",""
"passed","Sun Mar 13 10:23:16 GMT 2022","Sun Mar 13 10:23:18 GMT 2022","1972","","execute","","execute","successful execution","successful execution",""
"passed","Sun Mar 13 10:23:45 GMT 2022","Sun Mar 13 10:23:45 GMT 2022","673","","getCssProperty","","getCssProperty","retrieve css property","retrieve css property",""
