"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 22 20:20:20 GMT 2022","Tue Mar 22 20:20:20 GMT 2022","26","","NormalizeUrl","","NormalizeUrl","expect // removed","expect // removed",""
"passed","Tue Mar 22 20:20:31 GMT 2022","Tue Mar 22 20:20:32 GMT 2022","1098","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element outside of viewport","scrollIntoView to element outside of viewport",""
"passed","Tue Mar 22 20:19:31 GMT 2022","Tue Mar 22 20:19:33 GMT 2022","1871","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"passed","Tue Mar 22 20:19:35 GMT 2022","Tue Mar 22 20:19:38 GMT 2022","3723","","doubleClick","","doubleClick","double click not existing element","double click not existing element",""
"passed","Tue Mar 22 20:20:56 GMT 2022","Tue Mar 22 20:20:56 GMT 2022","149","","setWindowSize","","setWindowSize","change window size","change window size",""
"passed","Tue Mar 22 20:19:57 GMT 2022","Tue Mar 22 20:20:00 GMT 2022","3417","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements, element doesn't exists","Expect number of elements, element doesn't exists",""
"passed","Tue Mar 22 20:20:20 GMT 2022","Tue Mar 22 20:20:20 GMT 2022","21","","NormalizeUrl","","NormalizeUrl","throw if url is undefined","throw if url is undefined",""
"passed","Tue Mar 22 20:20:17 GMT 2022","Tue Mar 22 20:20:17 GMT 2022","886","","IsDisplayed","","IsDisplayed","displayed true","displayed true",""
"passed","Tue Mar 22 20:20:36 GMT 2022","Tue Mar 22 20:20:37 GMT 2022","758","","setCookies","","setCookies","expect unique cookie","expect unique cookie",""
"passed","Tue Mar 22 20:20:17 GMT 2022","Tue Mar 22 20:20:18 GMT 2022","455","","IsDisplayed","","IsDisplayed","displayed false","displayed false",""
"passed","Tue Mar 22 20:21:00 GMT 2022","Tue Mar 22 20:21:00 GMT 2022","174","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within default timeout ","Validate text found within default timeout ",""
"passed","Tue Mar 22 20:19:49 GMT 2022","Tue Mar 22 20:19:50 GMT 2022","741","","expectNoAttributeValue","","expectNoAttributeValue","Contains word substring","Contains word substring",""
"passed","Tue Mar 22 20:20:05 GMT 2022","Tue Mar 22 20:20:06 GMT 2022","597","","getNumberOfElements","","getNumberOfElements","get number of existing elements","get number of existing elements",""
"passed","Tue Mar 22 20:20:08 GMT 2022","Tue Mar 22 20:20:08 GMT 2022","638","","GetTestDataFileSpec","","GetTestDataFileSpec","Check get test data from env file","Check get test data from env file",""
"passed","Tue Mar 22 20:20:28 GMT 2022","Tue Mar 22 20:20:31 GMT 2022","3724","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","displayed element","displayed element",""
"passed","Tue Mar 22 20:20:19 GMT 2022","Tue Mar 22 20:20:19 GMT 2022","342","","url","","url","navigate successfully","navigate successfully",""
"passed","Tue Mar 22 20:20:38 GMT 2022","Tue Mar 22 20:20:39 GMT 2022","729","","SendKeysSpec","","SendKeysSpec","send string twice","send string twice",""
"passed","Tue Mar 22 20:19:49 GMT 2022","Tue Mar 22 20:19:50 GMT 2022","888","","waitForText","","waitForText","correct text","correct text",""
"passed","Tue Mar 22 20:19:49 GMT 2022","Tue Mar 22 20:19:53 GMT 2022","3351","","waitForAttributeValue","","waitForAttributeValue","incorrect value","incorrect value",""
"passed","Tue Mar 22 20:20:59 GMT 2022","Tue Mar 22 20:21:02 GMT 2022","3133","","waitForEnabled","","waitForEnabled","element not exists","element not exists",""
"passed","Tue Mar 22 20:19:52 GMT 2022","Tue Mar 22 20:19:53 GMT 2022","572","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"passed","Tue Mar 22 20:20:51 GMT 2022","Tue Mar 22 20:20:52 GMT 2022","949","","tab actions","","tab actions","switch to tab","switch to tab",""
"passed","Tue Mar 22 20:20:53 GMT 2022","Tue Mar 22 20:20:54 GMT 2022","325","","verifyFilesInZip","","verifyFilesInZip","correct list with size","correct list with size",""
"passed","Tue Mar 22 20:20:17 GMT 2022","Tue Mar 22 20:20:18 GMT 2022","899","","isEnabled","","isEnabled","check enabled element","check enabled element",""
"passed","Tue Mar 22 20:19:35 GMT 2022","Tue Mar 22 20:19:39 GMT 2022","3637","","addValue","","addValue","add value to disabled input","add value to disabled input",""
"passed","Tue Mar 22 20:19:53 GMT 2022","Tue Mar 22 20:19:57 GMT 2022","3772","","expectNoAttributeValue","","expectNoAttributeValue","Element not exists","Element not exists",""
"passed","Tue Mar 22 20:19:49 GMT 2022","Tue Mar 22 20:19:53 GMT 2022","3424","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements not equals","Expect number of elements not equals",""
"passed","Tue Mar 22 20:20:11 GMT 2022","Tue Mar 22 20:20:14 GMT 2022","3501","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate element not exist error thrown","Validate element not exist error thrown",""
"passed","Tue Mar 22 20:19:54 GMT 2022","Tue Mar 22 20:19:57 GMT 2022","3516","","waitForAlertText","","waitForAlertText","no alert","no alert",""
"passed","Tue Mar 22 20:20:32 GMT 2022","Tue Mar 22 20:20:34 GMT 2022","1779","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","disappearing element","disappearing element",""
"passed","Tue Mar 22 20:20:18 GMT 2022","Tue Mar 22 20:20:18 GMT 2022","567","","isEnabled","","isEnabled","check disabled element","check disabled element",""
"passed","Tue Mar 22 20:19:31 GMT 2022","Tue Mar 22 20:19:34 GMT 2022","2264","","addValue","","addValue","add value to empty input","add value to empty input",""
"passed","Tue Mar 22 20:19:48 GMT 2022","Tue Mar 22 20:19:49 GMT 2022","1190","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements equals","Expect number of elements equals",""
"passed","Tue Mar 22 20:20:15 GMT 2022","Tue Mar 22 20:20:16 GMT 2022","1016","","moveToSpec","","moveToSpec","hoverTrue","hoverTrue",""
"passed","Tue Mar 22 20:20:43 GMT 2022","Tue Mar 22 20:20:44 GMT 2022","1160","","SetValue","","SetValue","setValue","setValue",""
