"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 11:00:58 GMT 2022","Thu Nov 24 11:00:58 GMT 2022","97","","NormalizeUrl","","NormalizeUrl","empty string","empty string",""
"passed","Thu Nov 24 11:01:45 GMT 2022","Thu Nov 24 11:01:45 GMT 2022","145","","setWindowSize","","setWindowSize","change window size","change window size",""
"unknown","Thu Nov 24 11:01:05 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287665883","","RightClickSpec","","RightClickSpec","RightClick ","RightClick ",""
"unknown","Thu Nov 24 11:01:33 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287693213","","SwitchToParentIframe","","SwitchToParentIframe","Switch from iframe to Iframe parent","Switch from iframe to Iframe parent",""
"passed","Thu Nov 24 11:01:35 GMT 2022","Thu Nov 24 11:01:35 GMT 2022","96","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","default random string length","default random string length",""
"unknown","Thu Nov 24 11:01:44 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287704623","","waitForEnabled","","waitForEnabled","element enabled","element enabled",""
"unknown","Thu Nov 24 11:01:27 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287687707","","startNetworkAudit","","startNetworkAudit","successfully start and read network audit","successfully start and read network audit",""
"unknown","Thu Nov 24 11:00:52 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287652238","","url","","url","navigate successfully","navigate successfully",""
"unknown","Thu Nov 24 11:00:33 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287633688","","GetTestDataFileSpec","","GetTestDataFileSpec","Check get test data from env file","Check get test data from env file",""
"unknown","Thu Nov 24 11:00:05 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287605223","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"unknown","Thu Nov 24 11:00:09 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287609004","","getCssProperty","","getCssProperty","retrieve css property","retrieve css property",""
"unknown","Thu Nov 24 11:01:00 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287660198","","waitForExist reverse:true","","waitForExist reverse:true","disappearing element","disappearing element",""
"unknown","Thu Nov 24 10:59:36 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287576571","","doubleClick","","doubleClick","successful double click","successful double click",""
"unknown","Thu Nov 24 10:59:35 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287575366","","clearValue","","clearValue","clear value of text","clear value of text",""
"passed","Thu Nov 24 11:01:35 GMT 2022","Thu Nov 24 11:01:35 GMT 2022","28","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","random string of provided length","random string of provided length",""
"unknown","Thu Nov 24 10:59:35 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287575735","","BackSpec","","BackSpec","back browser","back browser",""
"unknown","Thu Nov 24 11:00:35 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287635720","","moveToSpec","","moveToSpec","hoverTrue","hoverTrue",""
"unknown","Thu Nov 24 11:00:05 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287605141","","waitForUrl","","waitForUrl","correct url","correct url",""
"unknown","Thu Nov 24 11:00:25 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287625149","","getNumberOfElements","","getNumberOfElements","get number of existing elements","get number of existing elements",""
"unknown","Thu Nov 24 11:00:36 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287636755","","IsDisplayed","","IsDisplayed","displayed true","displayed true",""
"unknown","Thu Nov 24 10:59:36 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287576308","","DeleteCookieSpec","","DeleteCookieSpec","expect empty cookie","expect empty cookie",""
"unknown","Thu Nov 24 11:01:23 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287683789","","SetValue","","SetValue","setValue","setValue",""
"passed","Thu Nov 24 11:00:58 GMT 2022","Thu Nov 24 11:00:58 GMT 2022","217","","NormalizeUrl","","NormalizeUrl","throw if url is null","throw if url is null",""
"unknown","Thu Nov 24 11:01:04 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287664611","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element outside of viewport","scrollIntoView to element outside of viewport",""
"unknown","Thu Nov 24 11:00:36 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287636269","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"unknown","Thu Nov 24 11:00:06 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287606293","","GetCookieSpec","","GetCookieSpec","expect unique cookie","expect unique cookie",""
"passed","Thu Nov 24 11:01:36 GMT 2022","Thu Nov 24 11:01:36 GMT 2022","43","","TestUtilsSpec: isTimePassed","","TestUtilsSpec: isTimePassed","expect to return true","expect to return true",""
"unknown","Thu Nov 24 11:01:42 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287702560","","waitForDisplayed","","waitForDisplayed","wait for visible element","wait for visible element",""
"passed","Thu Nov 24 11:00:58 GMT 2022","Thu Nov 24 11:00:58 GMT 2022","66","","NormalizeUrl","","NormalizeUrl","//// to be empty","//// to be empty",""
"unknown","Thu Nov 24 11:00:21 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287621329","","getSizeSpec","","getSizeSpec","get element size","get element size",""
"unknown","Thu Nov 24 11:00:43 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287643184","","isEnabled","","isEnabled","check enabled element","check enabled element",""
"passed","Thu Nov 24 11:01:35 GMT 2022","Thu Nov 24 11:01:35 GMT 2022","65","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","strings are randoms","strings are randoms",""
"unknown","Thu Nov 24 11:00:04 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287604670","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements equals","Expect number of elements equals",""
"unknown","Thu Nov 24 10:59:35 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287575867","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"unknown","Thu Nov 24 11:00:06 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287606544","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Check Result contains element key (object)","Check Result contains element key (object)",""
"unknown","Thu Nov 24 11:00:06 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287606793","","waitForText","","waitForText","correct text","correct text",""
"unknown","Thu Nov 24 11:00:36 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287636247","","isDisplayedInViewport","","isDisplayedInViewport","element displayed in viewport","element displayed in viewport",""
"unknown","Thu Nov 24 11:01:19 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287679320","","SendKeysSpec","","SendKeysSpec","send string","send string",""
"unknown","Thu Nov 24 11:00:28 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287628995","","getValue","","getValue","get value of input element","get value of input element",""
"unknown","Thu Nov 24 11:00:02 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287602901","","expectNoAttributeValue","","expectNoAttributeValue","Doesn't contains value","Doesn't contains value",""
"unknown","Thu Nov 24 11:00:01 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287601380","","waitForAttributeValue","","waitForAttributeValue","correct value","correct value",""
"unknown","Thu Nov 24 11:00:47 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287647634","","isSelected","","isSelected","element selected","element selected",""
"unknown","Thu Nov 24 10:59:36 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287576524","","CloseNewTabSpec","","CloseNewTabSpec","Open new tab and then close it","Open new tab and then close it",""
"passed","Thu Nov 24 11:00:58 GMT 2022","Thu Nov 24 11:00:58 GMT 2022","131","","NormalizeUrl","","NormalizeUrl","expect // removed","expect // removed",""
"unknown","Thu Nov 24 11:01:45 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287705463","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within given timeout ","Validate text found within given timeout ",""
"passed","Thu Nov 24 11:00:58 GMT 2022","Thu Nov 24 11:00:58 GMT 2022","78","","NormalizeUrl","","NormalizeUrl","throw if url is undefined","throw if url is undefined",""
"unknown","Thu Nov 24 10:59:34 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669287574816","","acceptAlert","","acceptAlert","accept existing alert","accept existing alert",""
