"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 10:05:50 GMT 2022","Thu Dec 01 10:05:50 GMT 2022","181","","isSelected","","isSelected","element not selected","element not selected",""
"passed","Thu Dec 01 10:06:04 GMT 2022","Thu Dec 01 10:06:05 GMT 2022","813","","RefreshSpec","","RefreshSpec","RefreshTrue","RefreshTrue",""
"passed","Thu Dec 01 10:06:10 GMT 2022","Thu Dec 01 10:06:11 GMT 2022","983","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element outside of viewport","scrollIntoView to element outside of viewport",""
"passed","Thu Dec 01 10:07:00 GMT 2022","Thu Dec 01 10:07:00 GMT 2022","237","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","notDisplayed but exist element ","notDisplayed but exist element ",""
"passed","Thu Dec 01 10:05:55 GMT 2022","Thu Dec 01 10:05:55 GMT 2022","7","","NormalizeUrl","","NormalizeUrl","expect // removed","expect // removed",""
"passed","Thu Dec 01 10:05:04 GMT 2022","Thu Dec 01 10:06:04 GMT 2022","60165","","moveToSpec","","moveToSpec","hoverFalse","hoverFalse",""
"passed","Thu Dec 01 10:04:10 GMT 2022","Thu Dec 01 10:04:11 GMT 2022","166","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Fail to obtain element due to wrong path","Fail to obtain element due to wrong path",""
"passed","Thu Dec 01 10:05:54 GMT 2022","Thu Dec 01 10:05:55 GMT 2022","607","","url","","url","navigate successfully","navigate successfully",""
"passed","Thu Dec 01 10:05:55 GMT 2022","Thu Dec 01 10:05:55 GMT 2022","8","","NormalizeUrl","","NormalizeUrl","expect / removed","expect / removed",""
"passed","Thu Dec 01 10:04:09 GMT 2022","Thu Dec 01 10:05:09 GMT 2022","60506","","expectNoAttributeValue","","expectNoAttributeValue","Exact match error thrown","Exact match error thrown",""
"passed","Thu Dec 01 10:05:17 GMT 2022","Thu Dec 01 10:05:20 GMT 2022","3174","","isEnabled","","isEnabled","check not existing element","check not existing element",""
"passed","Thu Dec 01 10:04:55 GMT 2022","Thu Dec 01 10:04:56 GMT 2022","232","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"passed","Thu Dec 01 10:04:33 GMT 2022","Thu Dec 01 10:04:34 GMT 2022","248","","getSizeSpec","","getSizeSpec","get element size","get element size",""
"passed","Thu Dec 01 10:03:59 GMT 2022","Thu Dec 01 10:05:00 GMT 2022","60821","","waitForAlertText","","waitForAlertText","incorrect text","incorrect text",""
"passed","Thu Dec 01 10:04:03 GMT 2022","Thu Dec 01 10:04:04 GMT 2022","587","","waitForUrl","","waitForUrl","correct url","correct url",""
"passed","Thu Dec 01 10:04:50 GMT 2022","Thu Dec 01 10:05:50 GMT 2022","60172","","addValue","","addValue","add value to not existing input","add value to not existing input",""
"passed","Thu Dec 01 10:03:42 GMT 2022","Thu Dec 01 10:03:44 GMT 2022","1219","","acceptAlert","","acceptAlert","no alert","no alert",""
"passed","Thu Dec 01 10:07:11 GMT 2022","Thu Dec 01 10:07:12 GMT 2022","295","","verifyFilesInZip","","verifyFilesInZip","correct list with incorrect size","correct list with incorrect size",""
"passed","Thu Dec 01 10:04:18 GMT 2022","Thu Dec 01 10:04:18 GMT 2022","229","","GetCookieSpec","","GetCookieSpec","expect unique cookie","expect unique cookie",""
"passed","Thu Dec 01 10:05:00 GMT 2022","Thu Dec 01 10:06:01 GMT 2022","60333","","waitForAlertText","","waitForAlertText","no alert","no alert",""
"passed","Thu Dec 01 10:04:22 GMT 2022","Thu Dec 01 10:04:22 GMT 2022","216","","getCssProperty","","getCssProperty","retrieve css property","retrieve css property",""
