"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Nov 24 11:24:39 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289079415","","RefreshSpec","","RefreshSpec","RefreshTrue","RefreshTrue",""
"unknown","Thu Nov 24 11:24:58 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289098000","","SwitchToParentIframe","","SwitchToParentIframe","Switch from iframe to Iframe parent","Switch from iframe to Iframe parent",""
"unknown","Thu Nov 24 11:24:21 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289061557","","moveToSpec","","moveToSpec","hoverTrue","hoverTrue",""
"unknown","Thu Nov 24 11:23:41 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289021152","","clearValue","","clearValue","clear value of text","clear value of text",""
"unknown","Thu Nov 24 11:24:13 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289053098","","getSizeSpec","","getSizeSpec","get element size","get element size",""
"unknown","Thu Nov 24 11:24:29 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289069928","","isSelected","","isSelected","element selected","element selected",""
"unknown","Thu Nov 24 11:23:55 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289035973","","waitForText","","waitForText","correct text","correct text",""
"unknown","Thu Nov 24 11:24:22 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289062661","","IsDisplayed","","IsDisplayed","displayed true","displayed true",""
"unknown","Thu Nov 24 11:23:39 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289019249","","click","","click","singleClick ","singleClick ",""
"unknown","Thu Nov 24 11:24:55 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289095487","","switchToIframe","","switchToIframe","Switch to iframe, header text at iFrame 2","Switch to iframe, header text at iFrame 2",""
"unknown","Thu Nov 24 11:23:41 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289021064","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"unknown","Thu Nov 24 11:24:01 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289041202","","GetCookieSpec","","GetCookieSpec","expect unique cookie","expect unique cookie",""
"unknown","Thu Nov 24 11:24:20 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289060631","","GetTestDataFileSpec","","GetTestDataFileSpec","Check get test data from env file","Check get test data from env file",""
"unknown","Thu Nov 24 11:23:38 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289018028","","acceptAlert","","acceptAlert","accept existing alert","accept existing alert",""
"unknown","Thu Nov 24 11:24:58 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289098461","","startNetworkAudit","","startNetworkAudit","successfully start and read network audit","successfully start and read network audit",""
"unknown","Thu Nov 24 11:24:46 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289086511","","ScrollTo","","ScrollTo","scroll to y value","scroll to y value",""
"passed","Thu Nov 24 11:24:59 GMT 2022","Thu Nov 24 11:24:59 GMT 2022","9","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","random string of provided length","random string of provided length",""
"unknown","Thu Nov 24 11:24:40 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289080087","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","displayed element","displayed element",""
"unknown","Thu Nov 24 11:24:35 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289075167","","url","","url","navigate successfully","navigate successfully",""
"passed","Thu Nov 24 11:24:37 GMT 2022","Thu Nov 24 11:24:37 GMT 2022","62","","NormalizeUrl","","NormalizeUrl","throw if url is null","throw if url is null",""
"unknown","Thu Nov 24 11:24:52 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289092809","","SetValue","","SetValue","setValue","setValue",""
"unknown","Thu Nov 24 11:24:51 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289091564","","SendKeysSpec","","SendKeysSpec","send string","send string",""
"unknown","Thu Nov 24 11:24:40 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1669289080981","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element outside of viewport","scrollIntoView to element outside of viewport",""
