"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 27 13:27:48 GMT 2022","Sun Nov 27 13:27:49 GMT 2022","423","","GetTestDataFileSpec","","GetTestDataFileSpec","Check incorrect user","Check incorrect user",""
"passed","Sun Nov 27 13:27:34 GMT 2022","Sun Nov 27 13:27:34 GMT 2022","302","","GetCookieSpec","","GetCookieSpec","get cookie by name","get cookie by name",""
"passed","Sun Nov 27 13:27:24 GMT 2022","Sun Nov 27 13:27:25 GMT 2022","1075","","waitForUrl","","waitForUrl","correct url","correct url",""
"passed","Sun Nov 27 13:28:32 GMT 2022","Sun Nov 27 13:28:32 GMT 2022","32","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","letters only","letters only",""
"passed","Sun Nov 27 13:28:12 GMT 2022","Sun Nov 27 13:28:12 GMT 2022","507","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","not exist element ","not exist element ",""
"passed","Sun Nov 27 13:27:30 GMT 2022","Sun Nov 27 13:27:30 GMT 2022","555","","waitForText","","waitForText","correct text","correct text",""
"passed","Sun Nov 27 13:27:29 GMT 2022","Sun Nov 27 13:27:32 GMT 2022","3368","","waitForAttributeValue","","waitForAttributeValue","incorrect selector","incorrect selector",""
"passed","Sun Nov 27 13:28:38 GMT 2022","Sun Nov 27 13:28:42 GMT 2022","4119","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text not found withing timeout and error message shown ","Validate text not found withing timeout and error message shown ",""
"passed","Sun Nov 27 13:27:27 GMT 2022","Sun Nov 27 13:27:31 GMT 2022","3731","","waitForAlertText","","waitForAlertText","incorrect text","incorrect text",""
"passed","Sun Nov 27 13:28:12 GMT 2022","Sun Nov 27 13:28:12 GMT 2022","388","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","notDisplayed but exist element ","notDisplayed but exist element ",""
"passed","Sun Nov 27 13:28:03 GMT 2022","Sun Nov 27 13:28:03 GMT 2022","14","","NormalizeUrl","","NormalizeUrl","empty string","empty string",""
"passed","Sun Nov 27 13:27:35 GMT 2022","Sun Nov 27 13:27:38 GMT 2022","3357","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements, element doesn't exists","Expect number of elements, element doesn't exists",""
"passed","Sun Nov 27 13:28:20 GMT 2022","Sun Nov 27 13:28:21 GMT 2022","376","","setCookies","","setCookies","validate cookie value","validate cookie value",""
"passed","Sun Nov 27 13:27:10 GMT 2022","Sun Nov 27 13:27:14 GMT 2022","3920","","addValue","","addValue","add value to disabled input","add value to disabled input",""
"passed","Sun Nov 27 13:28:37 GMT 2022","Sun Nov 27 13:28:38 GMT 2022","351","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within given timeout ","Validate text found within given timeout ",""
"passed","Sun Nov 27 13:27:08 GMT 2022","Sun Nov 27 13:27:10 GMT 2022","1749","","dragAndDrop","","dragAndDrop","drag and drop to element","drag and drop to element",""
"passed","Sun Nov 27 13:28:17 GMT 2022","Sun Nov 27 13:28:20 GMT 2022","3486","","scrollTo","","scrollTo","fail to scroll","fail to scroll",""
"passed","Sun Nov 27 13:27:30 GMT 2022","Sun Nov 27 13:27:34 GMT 2022","3955","","expectNoAttributeValue","","expectNoAttributeValue","Element not exists","Element not exists",""
"passed","Sun Nov 27 13:27:43 GMT 2022","Sun Nov 27 13:27:44 GMT 2022","578","","getNumberOfElements","","getNumberOfElements","get number of existing elements","get number of existing elements",""
"passed","Sun Nov 27 13:27:27 GMT 2022","Sun Nov 27 13:27:30 GMT 2022","3431","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements not equals","Expect number of elements not equals",""
"passed","Sun Nov 27 13:27:06 GMT 2022","Sun Nov 27 13:27:08 GMT 2022","2689","","acceptAlert","","acceptAlert","accept existing alert","accept existing alert",""
"passed","Sun Nov 27 13:28:41 GMT 2022","Sun Nov 27 13:28:44 GMT 2022","3115","","waitForDisplayed","","waitForDisplayed","hidden element","hidden element",""
"passed","Sun Nov 27 13:28:38 GMT 2022","Sun Nov 27 13:28:38 GMT 2022","138","","waitForClickable","","waitForClickable","reverse: true","reverse: true",""
"passed","Sun Nov 27 13:28:03 GMT 2022","Sun Nov 27 13:28:03 GMT 2022","17","","NormalizeUrl","","NormalizeUrl","//// to be empty","//// to be empty",""
"passed","Sun Nov 27 13:28:22 GMT 2022","Sun Nov 27 13:28:23 GMT 2022","710","","SendKeysSpec","","SendKeysSpec","Special Key Emoji","Special Key Emoji",""
"passed","Sun Nov 27 13:27:31 GMT 2022","Sun Nov 27 13:27:32 GMT 2022","1032","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"passed","Sun Nov 27 13:28:37 GMT 2022","Sun Nov 27 13:28:38 GMT 2022","177","","setWindowSize","","setWindowSize","change window size","change window size",""
"passed","Sun Nov 27 13:27:06 GMT 2022","Sun Nov 27 13:27:17 GMT 2022","11913","","BackSpec","","BackSpec","back browser","back browser",""
"passed","Sun Nov 27 13:27:31 GMT 2022","Sun Nov 27 13:27:32 GMT 2022","628","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Check Result contains element key (object)","Check Result contains element key (object)",""
"passed","Sun Nov 27 13:27:38 GMT 2022","Sun Nov 27 13:27:41 GMT 2022","3342","","getCssProperty","","getCssProperty","incorrect selector of an element","incorrect selector of an element",""
"passed","Sun Nov 27 13:27:24 GMT 2022","Sun Nov 27 13:27:27 GMT 2022","2740","","waitForAlertText","","waitForAlertText","correct text","correct text",""
"passed","Sun Nov 27 13:28:19 GMT 2022","Sun Nov 27 13:28:20 GMT 2022","1169","","setCookies","","setCookies","expect unique cookie","expect unique cookie",""
"passed","Sun Nov 27 13:27:59 GMT 2022","Sun Nov 27 13:28:00 GMT 2022","778","","waitForExist","","waitForExist","existing element","existing element",""
"passed","Sun Nov 27 13:28:42 GMT 2022","Sun Nov 27 13:28:45 GMT 2022","3126","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text not found within default timeout and default error message shown","Validate text not found within default timeout and default error message shown",""
"passed","Sun Nov 27 13:28:32 GMT 2022","Sun Nov 27 13:28:32 GMT 2022","23","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","strings are randoms","strings are randoms",""
"passed","Sun Nov 27 13:27:14 GMT 2022","Sun Nov 27 13:27:18 GMT 2022","3563","","addValue","","addValue","add value to not existing input","add value to not existing input",""
"passed","Sun Nov 27 13:27:24 GMT 2022","Sun Nov 27 13:27:25 GMT 2022","1219","","waitForAttributeValue","","waitForAttributeValue","correct value","correct value",""
"passed","Sun Nov 27 13:28:12 GMT 2022","Sun Nov 27 13:28:14 GMT 2022","1708","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","disappearing element","disappearing element",""
"passed","Sun Nov 27 13:27:58 GMT 2022","Sun Nov 27 13:28:01 GMT 2022","3489","","isEnabled","","isEnabled","check not existing element","check not existing element",""
