"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 07 13:15:31 GMT 2022","Mon Mar 07 13:15:31 GMT 2022","191","","tab actions","","tab actions","switch to tab","switch to tab",""
"failed","Mon Mar 07 13:15:12 GMT 2022","Mon Mar 07 13:15:13 GMT 2022","134","","ScrollTo","","ScrollTo","scroll to x value","scroll to x value",""
"failed","Mon Mar 07 13:15:25 GMT 2022","Mon Mar 07 13:15:26 GMT 2022","222","","SetValue","","SetValue","setValue","setValue",""
"passed","Mon Mar 07 13:15:33 GMT 2022","Mon Mar 07 13:15:33 GMT 2022","59","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","default random string length","default random string length",""
"passed","Mon Mar 07 13:15:05 GMT 2022","Mon Mar 07 13:15:05 GMT 2022","2","","NormalizeUrl","","NormalizeUrl","empty string","empty string",""
"passed","Mon Mar 07 13:15:33 GMT 2022","Mon Mar 07 13:15:33 GMT 2022","27","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","letters only","letters only",""
"passed","Mon Mar 07 13:14:22 GMT 2022","Mon Mar 07 13:14:22 GMT 2022","204","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements equals","Expect number of elements equals",""
"failed","Mon Mar 07 13:14:24 GMT 2022","Mon Mar 07 13:14:24 GMT 2022","101","","expectNoAttributeValue","","expectNoAttributeValue","Attribute not exists","Attribute not exists",""
"passed","Mon Mar 07 13:14:23 GMT 2022","Mon Mar 07 13:14:23 GMT 2022","161","","expectNoAttributeValue","","expectNoAttributeValue","Doesn't contains value","Doesn't contains value",""
"failed","Mon Mar 07 13:14:25 GMT 2022","Mon Mar 07 13:14:26 GMT 2022","606","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"passed","Mon Mar 07 13:14:00 GMT 2022","Mon Mar 07 13:14:01 GMT 2022","117","","acceptAlert","","acceptAlert","accept existing alert","accept existing alert",""
"failed","Mon Mar 07 13:14:26 GMT 2022","Mon Mar 07 13:14:26 GMT 2022","112","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","should return null on not existing attribute","should return null on not existing attribute",""
"failed","Mon Mar 07 13:15:42 GMT 2022","Mon Mar 07 13:15:42 GMT 2022","62","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within default timeout ","Validate text found within default timeout ",""
"passed","Mon Mar 07 13:15:05 GMT 2022","Mon Mar 07 13:15:05 GMT 2022","2","","NormalizeUrl","","NormalizeUrl","//// to be empty","//// to be empty",""
