"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 16 08:12:00 GMT 2022","Wed Feb 16 08:12:01 GMT 2022","775","","setCookies","","setCookies","validate cookie value","validate cookie value",""
"passed","Wed Feb 16 08:12:11 GMT 2022","Wed Feb 16 08:12:12 GMT 2022","642","","verifyFilesInZip","","verifyFilesInZip","correct list without size","correct list without size",""
"passed","Wed Feb 16 08:10:46 GMT 2022","Wed Feb 16 08:10:50 GMT 2022","3879","","doubleClick","","doubleClick","double click not existing element","double click not existing element",""
"passed","Wed Feb 16 08:11:54 GMT 2022","Wed Feb 16 08:11:55 GMT 2022","1152","","selectByValue","","selectByValue","select by existing value","select by existing value",""
"passed","Wed Feb 16 08:11:48 GMT 2022","Wed Feb 16 08:11:48 GMT 2022","638","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","notDisplayed but exist element ","notDisplayed but exist element ",""
"passed","Wed Feb 16 08:11:07 GMT 2022","Wed Feb 16 08:11:11 GMT 2022","3643","","waitForAlertText","","waitForAlertText","no alert","no alert",""
"passed","Wed Feb 16 08:12:12 GMT 2022","Wed Feb 16 08:12:13 GMT 2022","408","","verifyFilesInZip","","verifyFilesInZip","incorrect zip link","incorrect zip link",""
"passed","Wed Feb 16 08:11:06 GMT 2022","Wed Feb 16 08:11:06 GMT 2022","507","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","should return null on not existing attribute","should return null on not existing attribute",""
"passed","Wed Feb 16 08:11:11 GMT 2022","Wed Feb 16 08:11:12 GMT 2022","867","","getCssProperty","","getCssProperty","retrieve css property","retrieve css property",""
"passed","Wed Feb 16 08:11:16 GMT 2022","Wed Feb 16 08:11:16 GMT 2022","437","","getCssProperty","","getCssProperty","incorrect css property","incorrect css property",""
"passed","Wed Feb 16 08:11:03 GMT 2022","Wed Feb 16 08:11:04 GMT 2022","674","","expectNoAttributeValue","","expectNoAttributeValue","Contains word substring","Contains word substring",""
"passed","Wed Feb 16 08:11:49 GMT 2022","Wed Feb 16 08:11:50 GMT 2022","936","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element outside of viewport","scrollIntoView to element outside of viewport",""
"passed","Wed Feb 16 08:12:15 GMT 2022","Wed Feb 16 08:12:15 GMT 2022","552","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within given timeout ","Validate text found within given timeout ",""
"passed","Wed Feb 16 08:11:02 GMT 2022","Wed Feb 16 08:11:03 GMT 2022","926","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements equals","Expect number of elements equals",""
