"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 12:56:28 GMT 2022","Mon Mar 07 12:56:29 GMT 2022","564","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Fail to obtain element due to wrong path","Fail to obtain element due to wrong path",""
"passed","Mon Mar 07 12:57:14 GMT 2022","Mon Mar 07 12:57:15 GMT 2022","1272","","ScrollTo","","ScrollTo","scroll to y value","scroll to y value",""
"passed","Mon Mar 07 12:57:08 GMT 2022","Mon Mar 07 12:57:08 GMT 2022","525","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","notDisplayed but exist element ","notDisplayed but exist element ",""
"passed","Mon Mar 07 12:56:03 GMT 2022","Mon Mar 07 12:56:05 GMT 2022","2006","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"passed","Mon Mar 07 12:57:17 GMT 2022","Mon Mar 07 12:57:18 GMT 2022","947","","SendKeysSpec","","SendKeysSpec","send an array of strings","send an array of strings",""
"passed","Mon Mar 07 12:56:30 GMT 2022","Mon Mar 07 12:56:34 GMT 2022","3463","","waitForText","","waitForText","fail on case sensitive","fail on case sensitive",""
"passed","Mon Mar 07 12:56:29 GMT 2022","Mon Mar 07 12:56:29 GMT 2022","637","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","First Element Returned","First Element Returned",""
"passed","Mon Mar 07 12:57:33 GMT 2022","Mon Mar 07 12:57:33 GMT 2022","604","","verifyFilesInZip","","verifyFilesInZip","correct list without size","correct list without size",""
"passed","Mon Mar 07 12:56:36 GMT 2022","Mon Mar 07 12:56:37 GMT 2022","412","","getCssProperty","","getCssProperty","incorrect css property","incorrect css property",""
"passed","Mon Mar 07 12:56:33 GMT 2022","Mon Mar 07 12:56:36 GMT 2022","3433","","expectNoAttributeValue","","expectNoAttributeValue","Attribute not exists","Attribute not exists",""
"passed","Mon Mar 07 12:56:51 GMT 2022","Mon Mar 07 12:56:51 GMT 2022","553","","getValue","","getValue","get value of text area","get value of text area",""
"passed","Mon Mar 07 12:56:06 GMT 2022","Mon Mar 07 12:56:11 GMT 2022","4226","","doubleClick","","doubleClick","double click not existing element","double click not existing element",""
"passed","Mon Mar 07 12:56:44 GMT 2022","Mon Mar 07 12:56:45 GMT 2022","645","","GetTestDataFileSpec","","GetTestDataFileSpec","Check get test data from env file","Check get test data from env file",""
"passed","Mon Mar 07 12:56:36 GMT 2022","Mon Mar 07 12:56:36 GMT 2022","427","","getCssProperty","","getCssProperty","null params","null params",""
