"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 08 08:16:39 GMT 2022","Thu Sep 08 08:16:43 GMT 2022","3967","","waitForExist","","waitForExist","not existing element","not existing element",""
"passed","Thu Sep 08 08:17:12 GMT 2022","Thu Sep 08 08:17:14 GMT 2022","2079","","SetValue","","SetValue","setValue","setValue",""
"passed","Thu Sep 08 08:17:33 GMT 2022","Thu Sep 08 08:17:37 GMT 2022","3160","","waitForDisplayed","","waitForDisplayed","hidden element","hidden element",""
"passed","Thu Sep 08 08:15:31 GMT 2022","Thu Sep 08 08:15:33 GMT 2022","1365","","clearValue","","clearValue","clear value of disable input selector","clear value of disable input selector",""
"passed","Thu Sep 08 08:15:51 GMT 2022","Thu Sep 08 08:15:53 GMT 2022","2905","","waitForAlertText","","waitForAlertText","correct text","correct text",""
"passed","Thu Sep 08 08:16:28 GMT 2022","Thu Sep 08 08:16:29 GMT 2022","1234","","getValue","","getValue","get value of input element","get value of input element",""
"passed","Thu Sep 08 08:16:54 GMT 2022","Thu Sep 08 08:16:55 GMT 2022","954","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","not exist element ","not exist element ",""
"passed","Thu Sep 08 08:15:30 GMT 2022","Thu Sep 08 08:15:34 GMT 2022","4043","","doubleClick","","doubleClick","double click not existing element","double click not existing element",""
"passed","Thu Sep 08 08:16:23 GMT 2022","Thu Sep 08 08:16:24 GMT 2022","924","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate multiple result select first one ","Validate multiple result select first one ",""
"passed","Thu Sep 08 08:16:27 GMT 2022","Thu Sep 08 08:16:28 GMT 2022","1122","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"passed","Thu Sep 08 08:17:32 GMT 2022","Thu Sep 08 08:17:33 GMT 2022","1184","","waitForClickable","","waitForClickable","custom options","custom options",""
"passed","Thu Sep 08 08:15:26 GMT 2022","Thu Sep 08 08:15:29 GMT 2022","3064","","dragAndDrop","","dragAndDrop","drag and drop to coordinate","drag and drop to coordinate",""
"passed","Thu Sep 08 08:17:24 GMT 2022","Thu Sep 08 08:17:24 GMT 2022","24","","TestUtilsSpec: randomStringTest","","TestUtilsSpec: randomStringTest","letters only","letters only",""
"passed","Thu Sep 08 08:16:22 GMT 2022","Thu Sep 08 08:16:23 GMT 2022","734","","getNumberOfElements","","getNumberOfElements","get number of not existing elements","get number of not existing elements",""
