"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 16 10:23:50 GMT 2022","Wed Feb 16 10:23:53 GMT 2022","3300","","expectNoAttributeValue","","expectNoAttributeValue","Element not exists","Element not exists",""
"passed","Wed Feb 16 10:23:47 GMT 2022","Wed Feb 16 10:23:50 GMT 2022","3237","","expectNoAttributeValue","","expectNoAttributeValue","Exact match error thrown","Exact match error thrown",""
"passed","Wed Feb 16 10:23:53 GMT 2022","Wed Feb 16 10:23:57 GMT 2022","3235","","expectNoAttributeValue","","expectNoAttributeValue","Attribute not exists","Attribute not exists",""
"passed","Wed Feb 16 10:23:26 GMT 2022","Wed Feb 16 10:23:27 GMT 2022","614","","addValue","","addValue","add value to empty input","add value to empty input",""
"passed","Wed Feb 16 10:23:23 GMT 2022","Wed Feb 16 10:23:23 GMT 2022","391","","execute","","execute","failing execution","failing execution",""
"passed","Wed Feb 16 10:23:22 GMT 2022","Wed Feb 16 10:23:23 GMT 2022","636","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"passed","Wed Feb 16 10:23:41 GMT 2022","Wed Feb 16 10:23:41 GMT 2022","221","","waitForUrl","","waitForUrl","correct url","correct url",""
"passed","Wed Feb 16 10:23:27 GMT 2022","Wed Feb 16 10:23:30 GMT 2022","3247","","addValue","","addValue","add value to disabled input","add value to disabled input",""
"passed","Wed Feb 16 10:23:34 GMT 2022","Wed Feb 16 10:23:38 GMT 2022","3238","","doubleClick","","doubleClick","double click disabled element","double click disabled element",""
"passed","Wed Feb 16 10:23:47 GMT 2022","Wed Feb 16 10:23:47 GMT 2022","271","","expectNoAttributeValue","","expectNoAttributeValue","Contains word substring","Contains word substring",""
"passed","Wed Feb 16 10:23:23 GMT 2022","Wed Feb 16 10:23:23 GMT 2022","308","","execute","","execute","get string result","get string result",""
"passed","Wed Feb 16 10:23:30 GMT 2022","Wed Feb 16 10:23:34 GMT 2022","3192","","addValue","","addValue","add value to not existing input","add value to not existing input",""
"passed","Wed Feb 16 10:23:31 GMT 2022","Wed Feb 16 10:23:34 GMT 2022","3173","","doubleClick","","doubleClick","double click hidden element","double click hidden element",""
"passed","Wed Feb 16 10:23:28 GMT 2022","Wed Feb 16 10:23:31 GMT 2022","3203","","doubleClick","","doubleClick","double click not existing element","double click not existing element",""
"passed","Wed Feb 16 10:23:22 GMT 2022","Wed Feb 16 10:23:22 GMT 2022","630","","execute","","execute","successful execution","successful execution",""
"passed","Wed Feb 16 10:23:41 GMT 2022","Wed Feb 16 10:23:45 GMT 2022","3184","","waitForUrl","","waitForUrl","incorrect url","incorrect url",""
"passed","Wed Feb 16 10:23:27 GMT 2022","Wed Feb 16 10:23:27 GMT 2022","375","","addValue","","addValue","add value to existing input","add value to existing input",""
"passed","Wed Feb 16 10:23:46 GMT 2022","Wed Feb 16 10:23:47 GMT 2022","385","","expectNoAttributeValue","","expectNoAttributeValue","Doesn't contains value","Doesn't contains value",""
"passed","Wed Feb 16 10:23:26 GMT 2022","Wed Feb 16 10:23:28 GMT 2022","1733","","doubleClick","","doubleClick","successful double click","successful double click",""
"passed","Wed Feb 16 10:23:23 GMT 2022","Wed Feb 16 10:23:23 GMT 2022","543","","dismissAlert","","dismissAlert","no alert","no alert",""
