"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 10 10:24:05 GMT 2022","Thu Mar 10 10:24:06 GMT 2022","912","","waitForAttributeValue","","waitForAttributeValue","correct value","correct value",""
"passed","Thu Mar 10 10:23:49 GMT 2022","Thu Mar 10 10:23:50 GMT 2022","1503","","addValue","","addValue","add value to existing input","add value to existing input",""
"failed","Thu Mar 10 10:24:39 GMT 2022","Thu Mar 10 10:24:40 GMT 2022","1102","","isEnabled","","isEnabled","check disabled element","check disabled element",""
"passed","Thu Mar 10 10:25:15 GMT 2022","Thu Mar 10 10:25:15 GMT 2022","54","","TestUtilsSpec: extractNumbersFromString","","TestUtilsSpec: extractNumbersFromString","string contains letters and numbers","string contains letters and numbers",""
"failed","Thu Mar 10 10:24:13 GMT 2022","Thu Mar 10 10:24:15 GMT 2022","1877","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","First Element Returned","First Element Returned",""
"passed","Thu Mar 10 10:24:05 GMT 2022","Thu Mar 10 10:24:06 GMT 2022","1105","","expectNoAttributeValue","","expectNoAttributeValue","Doesn't contains value","Doesn't contains value",""
"failed","Thu Mar 10 10:24:28 GMT 2022","Thu Mar 10 10:24:31 GMT 2022","2339","","getNumberOfElements","","getNumberOfElements","get number of existing elements","get number of existing elements",""
"failed","Thu Mar 10 10:23:48 GMT 2022","Thu Mar 10 10:23:50 GMT 2022","2445","","dismissAlert","","dismissAlert","no alert","no alert",""
"passed","Thu Mar 10 10:24:47 GMT 2022","Thu Mar 10 10:24:48 GMT 2022","662","","waitForExist reverse:true","","waitForExist reverse:true","disappearing element","disappearing element",""
"passed","Thu Mar 10 10:25:23 GMT 2022","Thu Mar 10 10:25:24 GMT 2022","757","","waitForEnabled","","waitForEnabled","element enabled","element enabled",""
"failed","Thu Mar 10 10:24:52 GMT 2022","Thu Mar 10 10:24:54 GMT 2022","1617","","RightClickSpec","","RightClickSpec","RightClick ","RightClick ",""
