"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 13:08:53 GMT 2022","Mon Mar 07 13:09:01 GMT 2022","8086","","BackSpec","","BackSpec","back browser","back browser",""
"passed","Mon Mar 07 13:10:14 GMT 2022","Mon Mar 07 13:10:14 GMT 2022","17","","TestUtilsSpec: extractNumbersFromString","","TestUtilsSpec: extractNumbersFromString","string contains letters and numbers","string contains letters and numbers",""
"passed","Mon Mar 07 13:09:03 GMT 2022","Mon Mar 07 13:09:07 GMT 2022","3446","","doubleClick","","doubleClick","double click disabled element","double click disabled element",""
"passed","Mon Mar 07 13:08:53 GMT 2022","Mon Mar 07 13:08:55 GMT 2022","1735","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"passed","Mon Mar 07 13:08:55 GMT 2022","Mon Mar 07 13:08:56 GMT 2022","1430","","dragAndDrop","","dragAndDrop","drag and drop to element","drag and drop to element",""
"passed","Mon Mar 07 13:10:14 GMT 2022","Mon Mar 07 13:10:14 GMT 2022","34","","TestUtilsSpec: isTimePassed","","TestUtilsSpec: isTimePassed","expect to return false","expect to return false",""
"passed","Mon Mar 07 13:09:30 GMT 2022","Mon Mar 07 13:09:31 GMT 2022","769","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate single result ","Validate single result ",""
"passed","Mon Mar 07 13:10:19 GMT 2022","Mon Mar 07 13:10:20 GMT 2022","1112","","waitForClickable","","waitForClickable","custom options","custom options",""
"passed","Mon Mar 07 13:10:15 GMT 2022","Mon Mar 07 13:10:19 GMT 2022","3663","","waitForClickable","","waitForClickable","not clickable element","not clickable element",""
"passed","Mon Mar 07 13:09:49 GMT 2022","Mon Mar 07 13:09:52 GMT 2022","3866","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","displayed element","displayed element",""
"passed","Mon Mar 07 13:09:11 GMT 2022","Mon Mar 07 13:09:15 GMT 2022","3634","","waitForUrl","","waitForUrl","incorrect url","incorrect url",""
"passed","Mon Mar 07 13:09:40 GMT 2022","Mon Mar 07 13:09:43 GMT 2022","3451","","isEnabled","","isEnabled","check not existing element","check not existing element",""
"passed","Mon Mar 07 13:09:25 GMT 2022","Mon Mar 07 13:09:26 GMT 2022","634","","getLocation","","getLocation","get element Location","get element Location",""
"passed","Mon Mar 07 13:09:10 GMT 2022","Mon Mar 07 13:09:11 GMT 2022","1166","","waitForUrl","","waitForUrl","correct url","correct url",""
"passed","Mon Mar 07 13:09:12 GMT 2022","Mon Mar 07 13:09:16 GMT 2022","3730","","waitForText","","waitForText","hidden text","hidden text",""
"passed","Mon Mar 07 13:09:43 GMT 2022","Mon Mar 07 13:09:43 GMT 2022","11","","NormalizeUrl","","NormalizeUrl","expect // removed","expect // removed",""
"passed","Mon Mar 07 13:09:18 GMT 2022","Mon Mar 07 13:09:22 GMT 2022","3326","","getCssProperty","","getCssProperty","incorrect selector of an element","incorrect selector of an element",""
"passed","Mon Mar 07 13:10:00 GMT 2022","Mon Mar 07 13:10:01 GMT 2022","708","","setCookies","","setCookies","expect unique cookie","expect unique cookie",""
"passed","Mon Mar 07 13:09:08 GMT 2022","Mon Mar 07 13:09:11 GMT 2022","2470","","waitForAlertText","","waitForAlertText","correct text","correct text",""
"passed","Mon Mar 07 13:10:05 GMT 2022","Mon Mar 07 13:10:06 GMT 2022","1050","","startNetworkAudit","","startNetworkAudit","successfully start and read network audit","successfully start and read network audit",""
"passed","Mon Mar 07 13:09:51 GMT 2022","Mon Mar 07 13:09:52 GMT 2022","1053","","RightClickSpec","","RightClickSpec","RightClick ","RightClick ",""
"passed","Mon Mar 07 13:09:14 GMT 2022","Mon Mar 07 13:09:15 GMT 2022","491","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Check Result contains element key (object)","Check Result contains element key (object)",""
"passed","Mon Mar 07 13:08:53 GMT 2022","Mon Mar 07 13:08:55 GMT 2022","1807","","dragAndDrop","","dragAndDrop","drag and drop to coordinate","drag and drop to coordinate",""
"passed","Mon Mar 07 13:10:18 GMT 2022","Mon Mar 07 13:10:21 GMT 2022","3373","","waitForEnabled","","waitForEnabled","element disabled","element disabled",""
"passed","Mon Mar 07 13:10:06 GMT 2022","Mon Mar 07 13:10:07 GMT 2022","1367","","SetValue","","SetValue","setValue","setValue",""
"passed","Mon Mar 07 13:09:34 GMT 2022","Mon Mar 07 13:09:35 GMT 2022","615","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"passed","Mon Mar 07 13:09:01 GMT 2022","Mon Mar 07 13:09:04 GMT 2022","3416","","addValue","","addValue","add value to not existing input","add value to not existing input",""
"passed","Mon Mar 07 13:09:27 GMT 2022","Mon Mar 07 13:09:27 GMT 2022","705","","getNumberOfElements","","getNumberOfElements","get number of existing elements","get number of existing elements",""
"passed","Mon Mar 07 13:08:53 GMT 2022","Mon Mar 07 13:08:55 GMT 2022","2358","","click","","click","singleClick ","singleClick ",""
"passed","Mon Mar 07 13:09:59 GMT 2022","Mon Mar 07 13:10:00 GMT 2022","687","","ScrollTo","","ScrollTo","scroll to x value","scroll to x value",""
"passed","Mon Mar 07 13:09:15 GMT 2022","Mon Mar 07 13:09:15 GMT 2022","345","","findElement of BrowserUtils Tests","","findElement of BrowserUtils Tests","Fail to obtain element due to wrong path","Fail to obtain element due to wrong path",""
"passed","Mon Mar 07 13:09:30 GMT 2022","Mon Mar 07 13:09:31 GMT 2022","349","","GetTestDataFileSpec","","GetTestDataFileSpec","Check incorrect user","Check incorrect user",""
