"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 10 14:46:51 GMT 2022","Thu Mar 10 14:46:52 GMT 2022","618","","GetTestDataFileSpec","","GetTestDataFileSpec","Check incorrect user","Check incorrect user",""
"failed","Thu Mar 10 14:48:01 GMT 2022","Thu Mar 10 14:48:03 GMT 2022","1542","","waitForClickable","","waitForClickable","custom options","custom options",""
"passed","Thu Mar 10 14:46:06 GMT 2022","Thu Mar 10 14:46:10 GMT 2022","3546","","addValue","","addValue","add value to not existing input","add value to not existing input",""
"passed","Thu Mar 10 14:46:27 GMT 2022","Thu Mar 10 14:46:28 GMT 2022","675","","waitForText","","waitForText","dynamic text","dynamic text",""
"failed","Thu Mar 10 14:47:09 GMT 2022","Thu Mar 10 14:47:11 GMT 2022","1987","","isEnabled","","isEnabled","check disabled element","check disabled element",""
"passed","Thu Mar 10 14:46:28 GMT 2022","Thu Mar 10 14:46:33 GMT 2022","4511","","expectNoAttributeValue","","expectNoAttributeValue","Element not exists","Element not exists",""
"failed","Thu Mar 10 14:46:46 GMT 2022","Thu Mar 10 14:46:49 GMT 2022","2365","","getLocation","","getLocation","get element Location","get element Location",""
"passed","Thu Mar 10 14:46:00 GMT 2022","Thu Mar 10 14:46:03 GMT 2022","2872","","click","","click","doubleClick","doubleClick",""
"failed","Thu Mar 10 14:47:37 GMT 2022","Thu Mar 10 14:47:39 GMT 2022","1928","","selectByValue","","selectByValue","select hidden element by value","select hidden element by value",""
"passed","Thu Mar 10 14:46:02 GMT 2022","Thu Mar 10 14:46:03 GMT 2022","1126","","dragAndDrop","","dragAndDrop","drag and drop to undefined element","drag and drop to undefined element",""
"failed","Thu Mar 10 14:46:27 GMT 2022","Thu Mar 10 14:46:29 GMT 2022","2373","","waitForAttributeValue","","waitForAttributeValue","incorrect selector","incorrect selector",""
"failed","Thu Mar 10 14:47:35 GMT 2022","Thu Mar 10 14:47:38 GMT 2022","2584","","SendKeysSpec","","SendKeysSpec","send an array of strings","send an array of strings",""
"passed","Thu Mar 10 14:45:57 GMT 2022","Thu Mar 10 14:46:00 GMT 2022","3250","","addValue","","addValue","add value to empty input","add value to empty input",""
"failed","Thu Mar 10 14:46:55 GMT 2022","Thu Mar 10 14:46:57 GMT 2022","2183","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate multiple result select first one ","Validate multiple result select first one ",""
"passed","Thu Mar 10 14:46:58 GMT 2022","Thu Mar 10 14:46:59 GMT 2022","1703","","moveToSpec","","moveToSpec","hoverTrue","hoverTrue",""
"passed","Thu Mar 10 14:47:45 GMT 2022","Thu Mar 10 14:47:46 GMT 2022","1379","","startNetworkAudit","","startNetworkAudit","successfully start and read network audit","successfully start and read network audit",""
"failed","Thu Mar 10 14:46:34 GMT 2022","Thu Mar 10 14:46:36 GMT 2022","1866","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","Validate positive result ","Validate positive result ",""
"passed","Thu Mar 10 14:46:00 GMT 2022","Thu Mar 10 14:46:02 GMT 2022","2422","","addValue","","addValue","add value to existing input","add value to existing input",""
"passed","Thu Mar 10 14:46:23 GMT 2022","Thu Mar 10 14:46:25 GMT 2022","1209","","waitForText","","waitForText","correct text","correct text",""
"passed","Thu Mar 10 14:46:41 GMT 2022","Thu Mar 10 14:46:42 GMT 2022","1043","","getCssProperty","","getCssProperty","retrieve css property","retrieve css property",""
"failed","Thu Mar 10 14:46:57 GMT 2022","Thu Mar 10 14:46:59 GMT 2022","2100","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate element not exist error thrown","Validate element not exist error thrown",""
"passed","Thu Mar 10 14:45:57 GMT 2022","Thu Mar 10 14:45:59 GMT 2022","2524","","dismissAlert","","dismissAlert","dismiss existing alert","dismiss existing alert",""
"passed","Thu Mar 10 14:47:53 GMT 2022","Thu Mar 10 14:47:53 GMT 2022","61","","TestUtilsSpec: extractNumbersFromString","","TestUtilsSpec: extractNumbersFromString","string contains letters and numbers","string contains letters and numbers",""
"passed","Thu Mar 10 14:45:57 GMT 2022","Thu Mar 10 14:45:59 GMT 2022","2518","","acceptAlert","","acceptAlert","accept existing alert","accept existing alert",""
"failed","Thu Mar 10 14:46:48 GMT 2022","Thu Mar 10 14:46:50 GMT 2022","2049","","getSizeSpec","","getSizeSpec","get element size","get element size",""
"failed","Thu Mar 10 14:48:02 GMT 2022","Thu Mar 10 14:48:04 GMT 2022","1471","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within given timeout ","Validate text found within given timeout ",""
"passed","Thu Mar 10 14:46:00 GMT 2022","Thu Mar 10 14:46:02 GMT 2022","2028","","dragAndDrop","","dragAndDrop","drag and drop to element","drag and drop to element",""
"passed","Thu Mar 10 14:47:20 GMT 2022","Thu Mar 10 14:47:20 GMT 2022","728","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","notDisplayed but exist element ","notDisplayed but exist element ",""
"failed","Thu Mar 10 14:47:18 GMT 2022","Thu Mar 10 14:47:20 GMT 2022","2041","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","displayed element","displayed element",""
"passed","Thu Mar 10 14:46:36 GMT 2022","Thu Mar 10 14:46:37 GMT 2022","848","","GetCookieSpec","","GetCookieSpec","expect unique cookie","expect unique cookie",""
"failed","Thu Mar 10 14:47:22 GMT 2022","Thu Mar 10 14:47:25 GMT 2022","2909","","ScrollingIntoViewSpec","","ScrollingIntoViewSpec","scrollIntoView to element outside of viewport","scrollIntoView to element outside of viewport",""
"failed","Thu Mar 10 14:47:40 GMT 2022","Thu Mar 10 14:47:42 GMT 2022","2046","","SendKeysSpec","","SendKeysSpec","Add text after sending enter for new line","Add text after sending enter for new line",""
"failed","Thu Mar 10 14:47:32 GMT 2022","Thu Mar 10 14:47:35 GMT 2022","2570","","ScrollTo","","ScrollTo","scroll to y value","scroll to y value",""
"passed","Thu Mar 10 14:46:50 GMT 2022","Thu Mar 10 14:46:51 GMT 2022","980","","GetTestDataFileSpec","","GetTestDataFileSpec","Check get test data from env file","Check get test data from env file",""
"passed","Thu Mar 10 14:46:46 GMT 2022","Thu Mar 10 14:46:46 GMT 2022","447","","getCssProperty","","getCssProperty","incorrect css property","incorrect css property",""
"passed","Thu Mar 10 14:46:38 GMT 2022","Thu Mar 10 14:46:39 GMT 2022","483","","GetCookieSpec","","GetCookieSpec","get cookie by value","get cookie by value",""
"failed","Thu Mar 10 14:46:28 GMT 2022","Thu Mar 10 14:46:31 GMT 2022","2651","","waitForText","","waitForText","fail on case sensitive","fail on case sensitive",""
"failed","Thu Mar 10 14:46:31 GMT 2022","Thu Mar 10 14:46:33 GMT 2022","2570","","waitForText","","waitForText","fail on wrong text","fail on wrong text",""
